state;action_reward;n_state
999&4|2303&4|2779&4|3134&5|1259&3|2511&5|1296&4|1704&4|587&3|2406&4|3712&4|2243&4;2993&3|974&5|1272&5|368&2|3604&3|1287&3|1926&2|2947&4|3274&3|1926&2;999&4|2303&4|2779&4|3134&5|1259&3|2511&5|1296&4|1704&4|587&3|2406&4|3712&4|2243&4|2993&3|974&5|1272&5|368&2|3604&3|1287&3|1926&2|2947&4|3274&3|1926&2
1148&4|1321&3|1073&5|3920&4|1321&3|2787&4|2628&3|3920&4|745&4|1617&4|527&5|1347&4;589&3|457&4|2692&4|377&3|377&3|1610&3|457&4|2571&3|377&3|480&4;1148&4|1321&3|1073&5|3920&4|1321&3|2787&4|2628&3|3920&4|745&4|1617&4|527&5|1347&4|589&3|457&4|2692&4|377&3|377&3|1610&3|457&4|2571&3|377&3|480&4
2628&5|2761&4|913&4|3053&3|2724&1|1206&4|2761&4|2719&2|2396&4|2879&3|2761&4|2724&1;2762&5|2700&5|2987&4|2762&5|2700&5|3176&4|2700&5|3176&4|2762&5|3176&4;2628&5|2761&4|913&4|3053&3|2724&1|1206&4|2761&4|2719&2|2396&4|2879&3|2761&4|2724&1|2762&5|2700&5|2987&4|2762&5|2700&5|3176&4|2700&5|3176&4|2762&5|3176&4
280&4|2000&5|2110&2|1259&4|3177&2|3827&4|3101&4|3146&3|3156&4|1198&4|1198&4|527&3;2581&5|2428&2|2433&5|3296&5|2722&4|2541&3|3408&4|3564&2|2688&3|3354&4;280&4|2000&5|2110&2|1259&4|3177&2|3827&4|3101&4|3146&3|3156&4|1198&4|1198&4|527&3|2581&5|2428&2|2433&5|3296&5|2722&4|2541&3|3408&4|3564&2|2688&3|3354&4
1923&5|2759&4|1183&5|608&5|3424&3|50&5|2378&4|2693&5|112&4|440&4|2581&2|454&4;2719&1|3257&4|288&2|2026&4|177&1|377&4|188&4|2393&5|23&4|724&4;1923&5|2759&4|1183&5|608&5|3424&3|50&5|2378&4|2693&5|112&4|440&4|2581&2|454&4|2719&1|3257&4|288&2|2026&4|177&1|377&4|188&4|2393&5|23&4|724&4
1136&4|1212&4|1982&4|1219&4|1077&3|1219&4|2571&4|111&5|1193&5|111&5|3018&3|902&4;3201&3|951&4|3201&3|3201&3|593&5|1230&3|593&5|1230&3|3201&3|3201&3;1136&4|1212&4|1982&4|1219&4|1077&3|1219&4|2571&4|111&5|1193&5|111&5|3018&3|902&4|3201&3|951&4|3201&3|3201&3|593&5|1230&3|593&5|1230&3|3201&3|3201&3
1228&4|3260&5|1228&4|950&4|1449&5|1957&4|1080&5|1256&4|2302&4|2997&5|1219&3|3253&2;574&2|3160&5|2539&2|39&5|639&3|500&2|39&5|60&3|169&2|60&3;1228&4|3260&5|1228&4|950&4|1449&5|1957&4|1080&5|1256&4|2302&4|2997&5|1219&3|3253&2|574&2|3160&5|2539&2|39&5|639&3|500&2|39&5|60&3|169&2|60&3
2805&1|900&3|2080&4|3097&5|3534&3|2506&4|2572&4|2041&1|2485&4|3565&5|3512&5|471&1;2081&4|914&5|1277&5|597&5|933&5|2168&3|605&4|907&5|534&5|140&3;2805&1|900&3|2080&4|3097&5|3534&3|2506&4|2572&4|2041&1|2485&4|3565&5|3512&5|471&1|2081&4|914&5|1277&5|597&5|933&5|2168&3|605&4|907&5|534&5|140&3
904&5|2571&4|2174&4|213&5|2571&4|1252&5|2968&5|924&5|1193&5|924&5|1748&3|3702&5;1212&5|1212&5|1617&5|2861&4|2861&4|1212&5|2861&4|541&5|1617&5|2861&4;904&5|2571&4|2174&4|213&5|2571&4|1252&5|2968&5|924&5|1193&5|924&5|1748&3|3702&5|1212&5|1212&5|1617&5|2861&4|2861&4|1212&5|2861&4|541&5|1617&5|2861&4
3811&5|1225&5|1196&4|3250&3|1224&5|1252&5|1172&4|1221&4|1225&5|1394&4|1252&5|1172&4;3755&5|3753&2|1036&5|3755&5|3755&5|3753&2|2313&5|2313&5|1228&5|1036&5;3811&5|1225&5|1196&4|3250&3|1224&5|1252&5|1172&4|1221&4|1225&5|1394&4|1252&5|1172&4|3755&5|3753&2|1036&5|3755&5|3755&5|3753&2|2313&5|2313&5|1228&5|1036&5
2401&2|95&1|2699&3|1234&5|3104&1|891&3|353&4|3471&4|1388&4|3715&3|1690&4|1214&4;1343&2|2313&4|1089&4|3101&4|832&4|3219&5|3063&3|2058&4|1603&3|3424&1;2401&2|95&1|2699&3|1234&5|3104&1|891&3|353&4|3471&4|1388&4|3715&3|1690&4|1214&4|1343&2|2313&4|1089&4|3101&4|832&4|3219&5|3063&3|2058&4|1603&3|3424&1
1617&2|2194&5|3362&5|296&2|1645&3|47&5|6&4|293&4|2985&2|608&4|6&4|1645&3;1307&3|923&4|3095&5|318&5|923&4|259&3|318&5|1307&3|1307&3|969&4;1617&2|2194&5|3362&5|296&2|1645&3|47&5|6&4|293&4|2985&2|608&4|6&4|1645&3|1307&3|923&4|3095&5|318&5|923&4|259&3|318&5|1307&3|1307&3|969&4
1500&4|2470&4|3882&4|1784&5|1356&4|3948&3|923&5|1148&5|671&5|162&3|50&5|2359&4;1333&5|3733&4|2683&4|1373&4|3053&4|778&5|3053&4|3733&4|329&3|3317&5;1500&4|2470&4|3882&4|1784&5|1356&4|3948&3|923&5|1148&5|671&5|162&3|50&5|2359&4|1333&5|3733&4|2683&4|1373&4|3053&4|778&5|3053&4|3733&4|329&3|3317&5
912&4|923&4|700&3|1193&4|1198&4|2908&4|25&3|1963&4|858&4|1963&4|1147&4|296&4;1179&2|2028&5|36&5|2028&5|608&4|2890&5|36&5|300&4|2890&5|2890&5;912&4|923&4|700&3|1193&4|1198&4|2908&4|25&3|1963&4|858&4|1963&4|1147&4|296&4|1179&2|2028&5|36&5|2028&5|608&4|2890&5|36&5|300&4|2890&5|2890&5
2116&4|2527&3|260&5|1721&4|1909&3|588&5|1304&3|2291&4|1408&4|2916&4|1259&4|47&3;2406&4|1371&4|349&4|3256&4|1101&4|2723&4|786&4|353&1|786&4|733&4;2116&4|2527&3|260&5|1721&4|1909&3|588&5|1304&3|2291&4|1408&4|2916&4|1259&4|47&3|2406&4|1371&4|349&4|3256&4|1101&4|2723&4|786&4|353&1|786&4|733&4
356&3|1234&3|377&3|377&3|2949&4|2871&4|1270&3|1120&4|1449&5|535&5|2959&3|1078&4;3811&3|2656&3|3055&3|3481&4|532&3|1198&3|3685&3|2335&3|45&4|1240&3;356&3|1234&3|377&3|377&3|2949&4|2871&4|1270&3|1120&4|1449&5|535&5|2959&3|1078&4|3811&3|2656&3|3055&3|3481&4|532&3|1198&3|3685&3|2335&3|45&4|1240&3
3114&4|1372&3|1372&3|3784&4|3827&3|3872&4|1544&3|1584&3|3751&4|2735&2|2628&3|3872&4;2355&3|3450&3|1284&5|3868&5|2529&3|1035&3|1035&3|3868&5|3408&3|3408&3;3114&4|1372&3|1372&3|3784&4|3827&3|3872&4|1544&3|1584&3|3751&4|2735&2|2628&3|3872&4|2355&3|3450&3|1284&5|3868&5|2529&3|1035&3|1035&3|3868&5|3408&3|3408&3
3258&4|413&2|63&2|2736&4|2064&4|1285&5|1330&3|2700&5|2144&4|3751&4|1304&3|3525&2;472&3|2088&2|153&1|1468&1|2383&1|2804&4|135&3|1468&1|3031&1|2381&1;3258&4|413&2|63&2|2736&4|2064&4|1285&5|1330&3|2700&5|2144&4|3751&4|1304&3|3525&2|472&3|2088&2|153&1|1468&1|2383&1|2804&4|135&3|1468&1|3031&1|2381&1
3608&1|2794&4|3948&5|2372&5|2470&5|2463&3|2369&4|2470&5|2987&2|1394&4|1270&5|2193&4;2408&4|2408&4|2408&4|2072&3|3041&3|2796&2|1381&3|2468&4|2717&5|3388&4;3608&1|2794&4|3948&5|2372&5|2470&5|2463&3|2369&4|2470&5|2987&2|1394&4|1270&5|2193&4|2408&4|2408&4|2408&4|2072&3|3041&3|2796&2|1381&3|2468&4|2717&5|3388&4
2716&3|2692&4|2805&3|2676&4|3510&4|3081&4|2712&5|2710&5|2707&3|1090&3|2995&3|2580&4;3108&3|296&5|1175&3|3744&4|971&4|541&5|912&4|296&5|593&5|904&4;2716&3|2692&4|2805&3|2676&4|3510&4|3081&4|2712&5|2710&5|2707&3|1090&3|2995&3|2580&4|3108&3|296&5|1175&3|3744&4|971&4|541&5|912&4|296&5|593&5|904&4
2000&4|2540&3|2540&3|3623&4|3825&4|736&5|736&5|3826&3|3785&4|3623&4|3825&4|3617&3;737&2|1374&3|1374&3|737&2|1374&3|1374&3|780&5|780&5|1374&3|1374&3;2000&4|2540&3|2540&3|3623&4|3825&4|736&5|736&5|3826&3|3785&4|3623&4|3825&4|3617&3|737&2|1374&3|1374&3|737&2|1374&3|1374&3|780&5|780&5|1374&3|1374&3
1918&5|588&4|2137&5|3853&4|3360&3|3210&3|1927&4|1073&4|165&4|541&4|1023&4|2533&3;1030&4|2311&3|2451&3|2835&3|518&1|1643&3|1779&4|2835&3|2530&3|1804&3;1918&5|588&4|2137&5|3853&4|3360&3|3210&3|1927&4|1073&4|165&4|541&4|1023&4|2533&3|1030&4|2311&3|2451&3|2835&3|518&1|1643&3|1779&4|2835&3|2530&3|1804&3
2968&4|1921&1|924&3|2194&3|1234&4|2019&4|718&2|1228&4|3817&3|924&3|246&4|1266&4;3221&2|1132&5|1221&5|2983&4|2731&5|3538&5|1542&4|318&4|2239&4|2239&4;2968&4|1921&1|924&3|2194&3|1234&4|2019&4|718&2|1228&4|3817&3|924&3|246&4|1266&4|3221&2|1132&5|1221&5|2983&4|2731&5|3538&5|1542&4|318&4|2239&4|2239&4
3565&2|3526&3|648&4|2762&5|225&3|3258&4|141&5|140&3|1293&5|2858&4|919&5|26&5;213&2|593&4|2272&3|2160&3|1&4|3270&3|1208&3|3114&4|3114&4|2165&2;3565&2|3526&3|648&4|2762&5|225&3|3258&4|141&5|140&3|1293&5|2858&4|919&5|26&5|213&2|593&4|2272&3|2160&3|1&4|3270&3|1208&3|3114&4|3114&4|2165&2
327&3|327&3|1870&5|2324&5|1961&3|2683&3|2858&5|327&3|2390&5|1968&4|2908&4|3564&3;3157&4|2841&3|3176&3|2600&3|2762&4|3157&4|3176&3|2700&3|3176&3|2762&4;327&3|327&3|1870&5|2324&5|1961&3|2683&3|2858&5|327&3|2390&5|1968&4|2908&4|3564&3|3157&4|2841&3|3176&3|2600&3|2762&4|3157&4|3176&3|2700&3|3176&3|2762&4
1603&2|750&5|3269&4|1909&3|750&5|1689&5|1005&3|1614&4|1485&4|1923&4|110&5|2124&5;327&2|830&3|881&3|174&4|743&4|174&4|2504&3|2961&4|2252&4|1746&4;1603&2|750&5|3269&4|1909&3|750&5|1689&5|1005&3|1614&4|1485&4|1923&4|110&5|2124&5|327&2|830&3|881&3|174&4|743&4|174&4|2504&3|2961&4|2252&4|1746&4
1244&3|3871&5|3468&4|3871&5|3789&4|1207&5|858&4|1244&3|923&5|3753&5|1247&4|838&3;3936&4|954&4|529&4|1250&5|908&5|908&5|529&4|908&5|1233&2|908&5;1244&3|3871&5|3468&4|3871&5|3789&4|1207&5|858&4|1244&3|923&5|3753&5|1247&4|838&3|3936&4|954&4|529&4|1250&5|908&5|908&5|529&4|908&5|1233&2|908&5
3614&1|2918&5|235&1|1225&5|1225&5|1197&5|1207&5|296&2|2248&5|1136&4|1947&5|912&5;2081&2|1094&5|2883&3|3252&3|151&3|953&5|1&4|3418&4|3552&1|223&5;3614&1|2918&5|235&1|1225&5|1225&5|1197&5|1207&5|296&2|2248&5|1136&4|1947&5|912&5|2081&2|1094&5|2883&3|3252&3|151&3|953&5|1&4|3418&4|3552&1|223&5
1088&4|1198&4|2527&3|3551&4|1358&4|2565&4|3362&3|1214&5|1394&3|1204&4|3699&4|914&4;86&3|3479&5|2724&2|592&4|2628&4|1085&4|2370&3|2406&4|2908&4|2116&3;1088&4|1198&4|2527&3|3551&4|1358&4|2565&4|3362&3|1214&5|1394&3|1204&4|3699&4|914&4|86&3|3479&5|2724&2|592&4|2628&4|1085&4|2370&3|2406&4|2908&4|2116&3
1387&4|2380&3|17&5|1219&4|529&3|3536&4|529&3|919&5|1258&5|2747&3|3868&4|1258&5;550&4|1479&4|236&1|380&3|497&5|1541&3|838&4|2888&5|2485&5|7&3;1387&4|2380&3|17&5|1219&4|529&3|3536&4|529&3|919&5|1258&5|2747&3|3868&4|1258&5|550&4|1479&4|236&1|380&3|497&5|1541&3|838&4|2888&5|2485&5|7&3
858&5|2692&5|1210&4|3301&3|290&4|1179&4|296&5|1227&4|858&5|3362&5|1234&5|3019&4;3334&5|1945&5|3334&5|1523&4|866&3|910&5|910&5|3334&5|910&5|1945&5;858&5|2692&5|1210&4|3301&3|290&4|1179&4|296&5|1227&4|858&5|3362&5|1234&5|3019&4|3334&5|1945&5|3334&5|1523&4|866&3|910&5|910&5|3334&5|910&5|1945&5
3045&3|2858&5|2692&5|2541&4|746&3|1960&4|1476&4|2408&2|2862&3|1030&2|3913&4|3422&3;10&3|3362&3|3034&4|101&4|1788&4|3063&2|3052&3|2311&3|1599&1|3931&1;3045&3|2858&5|2692&5|2541&4|746&3|1960&4|1476&4|2408&2|2862&3|1030&2|3913&4|3422&3|10&3|3362&3|3034&4|101&4|1788&4|3063&2|3052&3|2311&3|1599&1|3931&1
3421&5|1961&4|441&5|372&4|371&3|1276&5|585&3|2396&4|852&4|2141&4|1961&4|1642&4;2002&4|2136&4|234&3|2683&5|1468&4|2796&4|1377&4|234&3|216&5|94&5;3421&5|1961&4|441&5|372&4|371&3|1276&5|585&3|2396&4|852&4|2141&4|1961&4|1642&4|2002&4|2136&4|234&3|2683&5|1468&4|2796&4|1377&4|234&3|216&5|94&5
2390&3|1101&3|2722&3|785&3|2712&4|2826&2|2699&2|593&5|2826&2|3160&5|3753&3|2959&5;3185&4|2763&4|2700&4|2724&2|2762&5|2396&5|2724&2|3185&4|2763&4|3948&4;2390&3|1101&3|2722&3|785&3|2712&4|2826&2|2699&2|593&5|2826&2|3160&5|3753&3|2959&5|3185&4|2763&4|2700&4|2724&2|2762&5|2396&5|2724&2|3185&4|2763&4|3948&4
2018&4|1270&5|3061&4|899&5|3675&5|303&3|938&3|1282&3|919&5|3675&5|364&3|938&3;2941&4|2941&4|3600&4|3610&2|963&3|3602&3|963&3|3610&2|3610&2|901&3;2018&4|1270&5|3061&4|899&5|3675&5|303&3|938&3|1282&3|919&5|3675&5|364&3|938&3|2941&4|2941&4|3600&4|3610&2|963&3|3602&3|963&3|3610&2|3610&2|901&3
916&5|1212&5|34&5|1252&4|588&4|3543&4|1136&5|2687&2|2000&4|2174&3|1270&5|3435&4;3505&5|2353&4|2881&3|2206&5|2058&4|1480&4|2353&4|1610&5|3505&5|1036&4;916&5|1212&5|34&5|1252&4|588&4|3543&4|1136&5|2687&2|2000&4|2174&3|1270&5|3435&4|3505&5|2353&4|2881&3|2206&5|2058&4|1480&4|2353&4|1610&5|3505&5|1036&4
1285&3|585&2|1584&5|1376&4|2858&5|2997&4|1196&5|1210&5|3481&4|3408&4|3053&2|260&5;1387&3|1954&5|2000&5|2947&4|2000&5|1387&3|1610&4|1275&4|3178&4|1036&5;1285&3|585&2|1584&5|1376&4|2858&5|2997&4|1196&5|1210&5|3481&4|3408&4|3053&2|260&5|1387&3|1954&5|2000&5|2947&4|2000&5|1387&3|1610&4|1275&4|3178&4|1036&5
3147&3|2410&2|1206&4|3421&4|1562&2|1500&3|151&4|345&3|2163&3|2734&3|1517&4|2959&4;3259&2|3863&2|647&3|3825&1|1892&3|2706&3|647&3|11&3|3952&3|2117&4;3147&3|2410&2|1206&4|3421&4|1562&2|1500&3|151&4|345&3|2163&3|2734&3|1517&4|2959&4|3259&2|3863&2|647&3|3825&1|1892&3|2706&3|647&3|11&3|3952&3|2117&4
1231&5|219&2|1259&4|2020&5|1097&5|58&4|1090&5|1259&4|1288&4|778&3|3006&2|2976&1;934&5|45&4|1197&3|1394&4|1265&4|3360&5|2112&3|62&4|1721&5|1028&5;1231&5|219&2|1259&4|2020&5|1097&5|58&4|1090&5|1259&4|1288&4|778&3|3006&2|2976&1|934&5|45&4|1197&3|1394&4|1265&4|3360&5|2112&3|62&4|1721&5|1028&5
1214&5|1358&4|1704&2|3676&2|3006&4|2145&2|290&3|912&3|1200&3|1193&5|1198&3|1358&4;3418&4|1079&4|953&3|3361&3|3361&3|3424&4|1834&4|535&4|3424&4|800&5;1214&5|1358&4|1704&2|3676&2|3006&4|2145&2|290&3|912&3|1200&3|1193&5|1198&3|1358&4|3418&4|1079&4|953&3|3361&3|3361&3|3424&4|1834&4|535&4|3424&4|800&5
25&5|58&5|1264&4|2863&5|912&5|2314&1|2941&3|2314&1|150&3|2941&3|1188&5|150&3;2621&4|2621&4|2858&4|858&4|2858&4|2621&4|3897&4|923&5|2621&4|2858&4;25&5|58&5|1264&4|2863&5|912&5|2314&1|2941&3|2314&1|150&3|2941&3|1188&5|150&3|2621&4|2621&4|2858&4|858&4|2858&4|2621&4|3897&4|923&5|2621&4|2858&4
1597&2|3175&3|1623&3|2447&2|2249&1|2771&1|3100&2|288&1|2792&3|3697&2|1953&3|2088&2;1686&2|434&2|1892&2|2006&3|2146&2|3524&1|1307&2|1798&1|15&1|2100&3;1597&2|3175&3|1623&3|2447&2|2249&1|2771&1|3100&2|288&1|2792&3|3697&2|1953&3|2088&2|1686&2|434&2|1892&2|2006&3|2146&2|3524&1|1307&2|1798&1|15&1|2100&3
1617&4|1231&5|3535&2|39&4|3535&2|1193&5|2360&4|1233&5|39&4|3827&2|1090&3|3094&5;2348&3|2243&5|3317&4|2919&4|541&5|1259&4|3317&4|3819&4|541&5|1288&5;1617&4|1231&5|3535&2|39&4|3535&2|1193&5|2360&4|1233&5|39&4|3827&2|1090&3|3094&5|2348&3|2243&5|3317&4|2919&4|541&5|1259&4|3317&4|3819&4|541&5|1288&5
86&3|86&3|2987&5|1214&5|2747&3|2987&5|2553&4|2770&3|2734&4|1347&4|2657&2|2841&5;1690&4|1969&2|1974&2|2782&4|1334&4|1969&2|1969&2|1327&3|1969&2|1690&4;86&3|86&3|2987&5|1214&5|2747&3|2987&5|2553&4|2770&3|2734&4|1347&4|2657&2|2841&5|1690&4|1969&2|1974&2|2782&4|1334&4|1969&2|1969&2|1327&3|1969&2|1690&4
2167&3|2021&3|903&4|1073&4|2094&2|1921&4|2138&4|198&3|1278&4|198&3|332&1|1407&3;2455&4|1982&3|1348&5|2455&4|1994&5|3932&5|1330&4|70&4|3018&3|2160&4;2167&3|2021&3|903&4|1073&4|2094&2|1921&4|2138&4|198&3|1278&4|198&3|332&1|1407&3|2455&4|1982&3|1348&5|2455&4|1994&5|3932&5|1330&4|70&4|3018&3|2160&4
1148&5|2355&3|3114&4|2355&3|1148&5|2599&4|2858&5|2997&5|2997&5|2542&5|1270&4|2380&1;2012&5|2012&5|2012&5|1500&4|553&5|996&5|996&5|1500&4|553&5|3088&4;1148&5|2355&3|3114&4|2355&3|1148&5|2599&4|2858&5|2997&5|2997&5|2542&5|1270&4|2380&1|2012&5|2012&5|2012&5|1500&4|553&5|996&5|996&5|1500&4|553&5|3088&4
62&4|1263&3|372&3|2734&2|1957&3|3448&4|2594&4|266&4|2020&4|1208&4|1193&5|1208&4;2770&3|3203&4|1997&4|1952&3|1204&4|1127&4|2724&3|2987&2|223&3|2763&4;62&4|1263&3|372&3|2734&2|1957&3|3448&4|2594&4|266&4|2020&4|1208&4|1193&5|1208&4|2770&3|3203&4|1997&4|1952&3|1204&4|1127&4|2724&3|2987&2|223&3|2763&4
3793&4|2160&3|2858&2|1248&3|3534&3|3510&2|480&5|908&4|198&2|1466&4|198&2|3578&3;3535&2|3&3|3&3|3566&4|3755&3|3&3|3354&2|3300&2|3566&4|1544&4;3793&4|2160&3|2858&2|1248&3|3534&3|3510&2|480&5|908&4|198&2|1466&4|198&2|3578&3|3535&2|3&3|3&3|3566&4|3755&3|3&3|3354&2|3300&2|3566&4|1544&4
2413&1|159&4|1288&1|3552&5|1290&2|1663&5|1245&4|2571&3|3751&3|2109&3|2918&4|159&4;50&3|2116&3|920&1|920&1|999&3|3706&4|541&4|1959&2|2096&4|2018&4;2413&1|159&4|1288&1|3552&5|1290&2|1663&5|1245&4|2571&3|3751&3|2109&3|2918&4|159&4|50&3|2116&3|920&1|920&1|999&3|3706&4|541&4|1959&2|2096&4|2018&4
1220&5|2747&4|999&5|661&5|2383&5|1461&4|1275&4|2747&4|430&4|1883&5|454&5|2694&5;374&4|3004&4|1004&3|3004&4|762&5|765&4|243&2|3556&4|3556&4|3949&5;1220&5|2747&4|999&5|661&5|2383&5|1461&4|1275&4|2747&4|430&4|1883&5|454&5|2694&5|374&4|3004&4|1004&3|3004&4|762&5|765&4|243&2|3556&4|3556&4|3949&5
110&5|110&5|2858&3|2006&3|1499&3|457&2|1221&3|110&5|2188&3|2858&3|2555&3|2706&5;2770&2|2770&2|2770&2|2710&4|2770&2|3005&5|2694&4|3005&5|2694&4|2770&2;110&5|110&5|2858&3|2006&3|1499&3|457&2|1221&3|110&5|2188&3|2858&3|2555&3|2706&5|2770&2|2770&2|2770&2|2710&4|2770&2|3005&5|2694&4|3005&5|2694&4|2770&2
517&3|3238&2|2394&4|2734&4|785&3|2906&3|2622&3|3113&2|2707&4|3113&2|3219&4|2622&3;2396&5|3176&4|3114&5|2714&3|2961&5|2700&2|2714&3|3273&3|3565&3|2396&5;517&3|3238&2|2394&4|2734&4|785&3|2906&3|2622&3|3113&2|2707&4|3113&2|3219&4|2622&3|2396&5|3176&4|3114&5|2714&3|2961&5|2700&2|2714&3|3273&3|3565&3|2396&5
1136&4|1081&3|2671&5|1193&3|2804&5|2028&5|2082&3|1422&3|1081&3|2791&3|1485&5|2791&3;161&5|608&3|608&3|161&5|1271&4|1569&5|1271&4|161&5|1672&4|597&4;1136&4|1081&3|2671&5|1193&3|2804&5|2028&5|2082&3|1422&3|1081&3|2791&3|1485&5|2791&3|161&5|608&3|608&3|161&5|1271&4|1569&5|1271&4|161&5|1672&4|597&4
1193&5|3273&3|2453&4|2710&3|1088&3|2908&3|2908&3|968&3|3708&3|2121&2|695&2|968&3;427&3|1584&2|1584&2|1584&2|1240&3|608&4|1393&3|1584&2|47&4|920&3;1193&5|3273&3|2453&4|2710&3|1088&3|2908&3|2908&3|968&3|3708&3|2121&2|695&2|968&3|427&3|1584&2|1584&2|1584&2|1240&3|608&4|1393&3|1584&2|47&4|920&3
410&2|295&3|328&2|2167&3|3424&2|1542&2|348&2|708&3|3448&3|2034&2|3017&2|2719&2;1798&1|3044&3|3584&2|1092&2|832&2|736&2|293&4|2287&3|15&2|903&5;410&2|295&3|328&2|2167&3|3424&2|1542&2|348&2|708&3|3448&3|2034&2|3017&2|2719&2|1798&1|3044&3|3584&2|1092&2|832&2|736&2|293&4|2287&3|15&2|903&5
1196&3|276&3|1196&3|1240&4|3703&4|1240&4|276&3|1193&4|1266&5|1653&2|3923&3|1196&3;2401&5|2922&3|2921&5|266&5|2921&5|266&5|2401&5|266&5|553&5|2921&5;1196&3|276&3|1196&3|1240&4|3703&4|1240&4|276&3|1193&4|1266&5|1653&2|3923&3|1196&3|2401&5|2922&3|2921&5|266&5|2921&5|266&5|2401&5|266&5|553&5|2921&5
