item_id;vectors
10;0.564911|-0.19258754|-0.53713304|0.32207197|0.115895495|-0.16821904|0.5234027|-0.10842213|-0.48632392|0.003405869|0.62626445|-0.20755538|0.41469884|0.35628706|0.29381678|0.23630533|0.09330243|0.027811766|-0.3059633|0.51464075|0.47644532|-0.2852193|-0.41846886|0.64965117|-0.20855565|-0.4566219|0.79733014|-0.25422332|-0.6222967|0.6533003|0.09934203|-0.1784057|-0.49631423|-0.093653664|-0.66381395|0.02685827|0.32226503|-0.017245874|-0.39858818|0.25287837|-0.17888004|-0.106013864|-0.24023348|0.30233264|-0.41932827|-0.81673735|-0.44418418|0.37692475|0.50044394|0.118307665|0.26334545|-0.016351223|0.5199345|-0.03638485|0.6340233|-0.720759|0.3575963|-0.2584027|-0.41667694|0.42272484|-0.36390936|0.03767228|-0.088739574|0.15005293|0.0820809|-0.028758883|-0.21800001|0.30164307|0.36078003|-0.22888334|-0.37534449|-0.644541|0.35252172|0.07467246|0.062878124|0.5066655|0.4900035|-0.10712041|-0.01868333|-0.0104492195|-0.082664095|-0.119602606|-0.2079037|-0.059900284|0.37828976|-0.5837951|-0.2591721|-0.062349245|-0.1524667|0.38840768|0.34013987|0.052579388|-0.33816987|0.18139102|0.3638283|-0.2754754|-0.17107174|0.14707123|-0.8992826|-0.41999316
11;0.44821623|-0.3709717|-0.43842056|0.17393503|-0.037002943|-0.023494631|0.61614966|0.19991401|-0.21463828|0.05452761|-0.24047938|-0.10513047|0.67053086|0.5533405|0.2762929|0.54743207|0.2776739|-0.04346873|-0.29696575|0.5632497|0.20586011|-0.5219032|-0.49864462|0.26459378|-0.38850096|-0.06705198|0.70318127|0.09263158|-0.40288332|0.34689736|-0.36735207|-0.39767757|-0.37641838|0.3758241|-0.2933383|-0.6780393|0.571139|-0.36834285|-0.10169895|0.15846732|-0.4754277|1.254975|-0.50712013|-0.03157875|-0.39045715|-0.22956572|-0.74335456|0.41712928|0.6347965|0.21078591|0.5297008|-0.3853805|0.5366386|-0.028393164|0.37641823|-0.526276|0.008552551|-0.20871928|0.07160497|0.35654953|-0.6770104|0.3602515|-0.6340087|0.30913123|0.1198995|-0.44993168|-0.42456517|-0.10194147|0.3677846|-0.41707897|-0.5767552|-0.38561463|0.33114028|0.1127828|-0.050116062|0.5709443|0.6304091|-0.50079834|-0.20814702|0.006236173|-0.078643925|-0.7717124|-0.2721958|-0.36420792|1.0323268|0.116004944|-0.72621095|-0.149394|0.2453221|0.4828977|-0.19675258|0.27656284|-0.2245668|0.48940688|0.2725439|-0.3958975|-0.34813437|0.69518924|0.36320797|-0.18503916
12;0.24284904|-0.5266299|-0.31869867|-0.17050168|0.18918698|-0.28890437|0.8355949|0.081781246|-0.4100809|0.6886083|0.5534227|0.21328866|0.49299428|0.5122536|0.40809816|-0.20991635|0.56647646|-0.13917407|-0.29040796|0.4629185|0.37739885|-0.194877|-0.88667464|0.31067967|-0.27947453|-0.409817|0.6593476|-0.5309588|-0.2640245|0.17657495|-0.24313928|-0.5352738|-0.32855025|0.044445693|-0.41034615|0.050571382|0.12190063|-0.7672205|0.17294958|0.15691929|-0.3061852|0.3252306|-0.28151888|0.16066757|-0.07392806|-0.30157518|-0.31515378|0.20944971|-0.046077043|0.13653255|0.6027584|0.3854251|0.49656284|0.4560004|0.45457095|-0.67409515|0.12389845|-0.55458575|0.12017277|0.469497|-0.2763466|0.20959738|-0.44374895|0.043027177|0.1291727|-0.6147129|-0.75291383|0.108131364|0.6348375|0.039844096|-0.37903136|-0.46136194|0.3142584|-0.0011058273|-0.0656894|0.4256589|0.40489137|-0.40125987|-0.42830855|-0.016499184|-0.25513855|-0.35227787|-0.4437523|-0.28460437|0.41938752|-0.50444496|-0.107875824|-0.3993905|0.20888318|0.38385823|-0.012930535|-0.24947953|-0.2634092|0.274205|-0.1914388|-0.2563934|-0.6198531|0.27468246|-0.49430135|-0.37420994
13;0.36562994|-0.47700542|-0.30859303|-0.104112|-0.20796669|-0.6518724|0.8906545|-0.23216987|-0.33770823|0.17296633|0.12153903|0.34381023|0.30486873|0.20120831|1.0162563|0.21686336|0.41899607|0.6667079|-0.005537957|0.18715742|-0.026077569|-0.12226497|-0.41295636|0.5463488|0.22107041|-0.27087805|0.836851|-0.27757868|-0.056176096|0.37543818|-0.022716299|-0.17934486|-0.65868616|0.0403613|-0.050688446|-0.3899908|0.43327412|-0.3300221|-0.063488215|0.54277265|-0.37581635|0.33298922|-0.4499581|0.21370463|-0.27028778|-0.525162|-0.43807834|0.34840575|0.6495984|0.4296587|0.49242657|0.19417752|0.15097797|0.15735011|0.22564255|-0.6171191|0.11235112|-0.34570074|0.14425224|0.31226146|-0.48012528|0.48287898|-0.39325377|0.4816872|0.3662039|-0.9408939|-0.35340396|0.11424321|0.4023893|-0.50283474|-0.44196036|-0.16146797|0.46234|0.048885763|0.33663762|0.30022508|0.7610141|-0.18385708|0.30888647|0.23039064|-0.18042865|-0.1788503|-0.38599572|-0.2955385|0.6810974|-0.108824074|-0.848475|-0.38823032|0.06623269|0.4853231|0.097299874|-0.12528272|-0.17545113|0.5545657|0.37731767|-0.4685042|-0.008513361|0.14804062|-0.5500266|-0.5023556
14;0.82304287|-0.12386286|-0.6583639|0.6650628|0.2576373|-0.26638973|0.94355524|0.015595019|-0.2572836|0.8003849|0.4267791|-0.53701997|0.80207396|0.56544423|0.76836747|-0.08840869|0.36265928|-0.26394406|-0.39746565|0.3697611|0.39000124|-0.644287|-0.18415138|0.54698664|0.050479047|0.046205044|0.31377792|-0.31908855|-0.36717314|0.5046523|-0.046771318|-0.54971844|-0.22937977|0.3592415|-0.21779689|0.064309925|0.49097642|-0.86776525|0.09133193|0.6967722|-0.018382028|0.21542844|-0.009564221|-0.0021536797|-0.3376169|-0.6803652|-0.57338005|-0.15460491|-0.13453794|-0.09808138|0.22657263|0.11360873|0.8006028|-0.13926665|0.8898424|-0.27825177|0.62242305|-0.19621138|-0.08175558|0.5555778|-0.34848496|0.34418112|-0.027904779|0.67032087|-0.14731535|-0.57037807|-0.22716583|-0.3373878|0.59769833|-0.25637314|-0.6007297|-0.5829267|-0.17285046|-0.15998928|0.380641|0.36810234|0.16133909|-0.3902277|-0.0395713|-0.07649873|0.4262177|0.08197439|-0.8412206|-0.47295493|0.2698268|-0.5764096|-0.19164847|-0.3421134|0.03214265|0.44632748|0.15708733|0.50891423|-0.061600253|0.3677646|-0.0060258657|-0.9227211|-0.31757978|0.31232893|-0.24642646|-0.26426086
15;0.5256804|-0.3265848|-0.24478754|0.21748514|0.13016619|-0.22781585|0.29608727|0.17453766|-0.52305096|0.23904139|0.354174|0.009463359|0.303292|0.24756476|0.5387655|-0.18849218|0.51941925|0.15221912|-0.055202737|0.5629154|0.3227851|-0.58527577|-0.3261248|0.271513|-0.24246447|-0.3295663|0.37827972|-0.33873248|-0.1724105|0.2335719|-0.23254189|-0.26788545|-0.5688643|0.3908122|-0.30697134|-0.58808494|0.26102126|-0.37755716|-0.27500474|0.2014005|-0.52887166|0.75187904|-0.2662347|0.14347754|-0.20274515|-0.25903624|-0.13139874|0.38923493|0.38618016|0.29273203|0.29303306|0.072127104|0.36102653|0.051953547|0.21300797|-0.4019077|0.3582072|-0.53535914|-0.09715074|0.41076982|-0.4570313|0.43765515|-0.2441349|0.52082056|0.14172675|-0.11369094|-0.50822383|-0.06618248|0.5179415|-0.2885645|-0.35247877|-0.36892122|0.17239651|-0.12706594|0.113998264|0.66273344|0.2689613|-0.43033287|-0.11680451|-0.05103504|-0.12877724|-0.28931832|-0.17781186|-0.31011045|0.3745087|-0.43090567|-0.2782753|-0.20867285|-0.07910084|0.26552355|0.2515234|-0.1289452|-0.18543005|0.29592547|0.00663881|-0.075629696|-0.28076535|0.17410937|-0.14098814|-0.49283877
16;0.47022474|-0.27736446|-0.43744528|0.0982002|-0.024506625|-0.2865399|0.8231562|0.32245865|-0.5152408|0.092888996|0.24864362|0.27354512|0.5108413|0.16500816|0.29942504|-0.14089745|0.45235103|0.3650486|-0.4297259|0.45155638|0.12416369|-0.31261674|-0.3187408|0.21718448|-0.079947546|-0.29972816|0.51801735|-0.20164847|-0.28789523|0.40251222|-0.32598174|-0.39638245|-0.36992228|0.21118918|-0.36384034|-0.012661457|0.27894002|-0.18928307|-0.23031485|0.2885011|-0.3127324|0.51067805|-0.37070608|0.11082607|-0.31078795|-0.1654746|-0.37487262|0.23687932|0.3849606|0.140514|0.45892763|0.14883062|0.5201646|0.45383292|0.71660787|-0.6095975|0.43569073|-0.42234924|-0.39109462|0.39664072|-0.58546627|0.2005128|-0.36667228|0.2723339|0.051034935|-0.25898603|-0.4496504|0.08776666|0.18718567|-0.021072268|-0.38932848|-0.35115394|0.15087056|-0.24881543|0.30142558|0.48918924|0.45646048|-0.40871125|-0.2992663|-0.026239589|-0.04857181|-0.35589522|-0.24359392|-0.2741714|0.37654597|0.03391373|-0.29116455|-0.49480093|0.027094262|0.36525944|0.26337302|0.058451883|-0.13692147|0.25309044|0.26484898|-0.3240268|-0.43353802|0.33532777|-0.297555|-0.35568884
17;0.48543411|-0.5536129|-0.359332|0.37299985|0.34812263|-0.42360762|0.5864032|0.45593277|-0.5066118|0.18779922|0.3062532|-0.14936808|0.1071583|0.29474843|0.48144773|-0.18002507|0.22516419|-0.07695854|-0.5846882|0.5358528|0.5668949|-0.36978522|-0.4204849|0.34100035|0.10416468|-0.5590363|0.56621957|-0.5594369|-0.3796493|0.23752852|0.07011883|-0.4996907|-0.5736648|0.09679663|-0.636005|-0.21439572|0.2958796|-0.15558985|-0.3975184|0.35410047|-0.20171222|0.12304428|-0.18731946|0.14016342|-0.25213253|-0.2991355|-0.58435|0.26141688|0.5849904|-0.0075261444|0.3599059|0.42029986|0.43150643|0.32144508|0.5196545|-0.6196879|0.42214784|-0.18831271|-0.33956113|0.60635245|-0.5278018|0.09690532|-0.26920342|0.07808709|-0.05241553|-0.20852786|-0.30876043|0.28271055|0.29532275|-0.19658563|-0.36255938|-0.62562937|0.41307634|0.071048334|-0.045210704|0.55943453|0.46822864|-0.13988665|-0.3849348|-0.073110074|-0.036566116|-0.42011458|-0.3512857|-0.40015447|0.46009088|-0.45635605|-0.43386826|-0.27695692|-0.4249961|0.2699303|0.24822843|0.05271844|-0.31778014|-0.04265088|0.1563867|-0.1265838|-0.4087379|0.2396881|-0.49792653|-0.52284914
18;0.4931294|-0.356296|-0.46563148|0.21078378|-0.27409467|-0.4348867|0.83919746|0.5272049|-0.84288|-0.050971404|0.26542488|-0.08086164|0.5278251|0.5651474|0.49253488|-0.15583947|0.28290454|0.25424576|-0.31064907|0.7570711|0.55152977|-0.114313126|-0.91378415|0.8406472|-0.17966244|-0.5178379|0.5897111|-0.4898138|-0.13993113|0.27278388|-0.5072016|-0.47429228|-0.05554506|0.38513845|-0.56310534|-0.38553014|0.57956684|-0.13501917|-0.41703802|0.28429034|-0.12048179|0.6095071|-0.19657134|0.046043158|-0.51199514|0.04863888|-0.39241746|0.25033197|0.54835093|0.27203348|0.903512|0.28283638|0.40918097|0.12911323|0.6022539|-0.77202505|0.28864795|-0.47706154|-0.30196765|0.6168758|-0.43306676|0.20757669|-0.32558346|0.18121482|0.16054021|-0.33061385|0.12433714|0.07241254|0.0434673|-0.061266188|-0.19105172|-0.48108053|0.3047717|-0.20856915|0.17726587|0.77330565|0.26325244|-0.30397943|-0.06365916|-0.009970948|-0.012534071|-0.3574911|-0.21605058|-0.41856772|0.432704|-0.24343456|-0.38751492|-0.40765965|0.05064266|0.39886028|-0.0068394914|0.41204417|-0.24628101|0.3786736|-0.22754663|-0.7366477|-0.6079869|0.47709405|-0.0765464|-0.35166138
19;-0.018486619|-0.751024|-0.26833493|0.4815098|0.27437118|-0.24516593|0.54574454|0.5543479|-0.26873845|0.4194851|0.7897768|0.16910297|0.39262563|0.65422577|0.6642796|-0.28950673|0.31940314|0.25742546|-0.32219696|0.7325539|0.093335465|-0.23212898|-0.48246548|0.27490586|-0.09253289|-0.5062063|0.51126975|-0.64365727|0.0847967|0.12453467|0.082629785|-0.616865|-0.4751853|0.3401676|-0.8127154|-0.7009448|0.19096662|-0.62046015|0.15538606|-0.15498939|-0.326554|0.33974326|-0.26591656|0.0775699|-0.14639223|-0.1757807|-0.24104528|0.29504538|0.4990782|0.05676824|0.66415286|0.38819453|0.36036777|0.10047466|0.27930054|0.038968533|0.24446182|-0.7423881|-0.056410223|0.65704715|-0.5803676|0.1051054|-0.1418788|0.28185138|0.10510653|-0.120475635|-0.7643875|0.1536936|0.038696304|0.11460248|-0.47354454|-0.37313122|0.486332|0.08026852|0.11139916|0.60552263|0.24959207|-0.18565805|-0.0384444|-0.4171931|-0.464816|-0.43759078|-0.63231885|-0.64325386|0.32235965|-0.42496884|-0.21803184|-0.19429171|-0.049931396|0.43139622|0.09431034|-0.07539876|-0.38694403|0.78148144|0.2051765|-0.46524233|-0.41429934|0.37141448|-0.1720697|-0.5822278
20;0.2860665|-0.39749378|-0.32622656|0.357771|0.08524415|-0.3254782|0.37548947|0.2742648|-0.44577688|0.05061789|0.15334798|0.062411286|0.4135735|0.52457154|0.49256825|-0.047437467|0.50893867|0.3540631|-0.38565218|0.700081|0.24469139|-0.24716182|-0.65715307|0.40351924|0.057309337|-0.0017840862|0.2862728|-0.28776854|-0.20076932|0.30635548|-0.09384867|-0.4366021|-0.69626695|0.12676415|-0.38791397|-0.18373711|0.33253482|-0.24551816|-0.14808354|0.14641961|0.07662335|0.6762482|-0.537198|-0.054598853|-0.26563025|-0.31738907|-0.58208305|0.33775666|0.408553|0.35881615|0.20293981|0.2274263|0.47077513|0.20240474|0.2820892|-0.38600278|0.51873624|-0.2715835|-0.31561366|0.49498296|-0.6561195|0.54080224|-0.20905636|0.116226|0.10976823|0.10483858|-0.46995577|0.058103338|0.0023491383|-0.11203565|-0.3305798|-0.53795594|0.29818004|-0.04282135|0.11189402|0.4329509|0.3272658|-0.5415672|-0.47680467|0.15867332|0.091727816|-0.4496026|-0.12122397|-0.48706758|0.5138856|0.005061239|-0.5471211|-0.19124298|-0.24290636|0.37386173|0.060790837|-0.19056478|-0.38192028|0.37337902|0.07655076|-0.40092453|-0.6728604|0.4429826|-0.18476376|-0.6003003
