item_id;vectors
10;-0.70852107|-0.16537824|0.071040675|-0.2855192|-0.43300277|-0.37028897|0.31268167|-0.09541538|-0.4463046|0.47805977|0.52993757|0.44978687|-0.61702555|0.3217477|0.35671067|-0.3046317|0.38095933|0.10824214|0.38859373|0.21252921|0.28470907|-0.31725225|-0.21556935|-0.35023195|-0.46729666|0.2935546|-0.48030698|-0.25401932|0.25894338|-0.46233237|0.32945397|0.50785017|0.27168432|-0.5065088|-0.534847|0.29551536|0.35315597|0.4186255|-0.20453845|0.32913017|0.057477526|-0.26718774|0.27519435|-0.40712625|-0.4294255|-0.31704143|-0.1120055|-0.4852523|-0.24634981|-0.39492592|0.4222239|-0.21079|-0.06680046|-0.3755814|-0.28953677|0.08878527|0.25806457|0.06453011|0.46388018|0.3902251|0.07407731|-0.5130824|-0.029797599|0.26702932|-0.25745356|0.41463408|0.14957574|-0.17869112|0.606132|0.17450175|0.31547886|0.11460246|-0.3672073|0.16113824|0.40111583|0.2670226|0.061702035|0.41627154|0.40481022|0.052633107|0.287553|-0.54815274|-0.4657605|-0.13575394|-0.22229403|0.010524854|-0.5576102|0.24819934|0.58053017|0.1848113|0.081760734|0.6980894|-0.0055629686|-0.54886335|-0.41988352|0.4384116|-0.37122318|0.34423536|0.29048496|0.45091948
11;-0.48451033|-0.09679651|0.12169254|-0.17934112|-0.39973634|-0.24094224|0.22784251|-0.281961|-0.4121943|0.48570803|0.44164547|0.4983672|-0.5656677|0.41549018|0.41140065|-0.22747147|0.29187343|0.08495237|0.49695033|0.21871863|0.37339655|-0.4470714|-0.10677105|-0.35074812|-0.39681405|0.4066025|-0.53718096|-0.33927423|0.39030883|-0.7471986|0.30066147|0.50135416|0.42930096|-0.3152997|-0.6005972|0.22291063|0.53763103|0.22471073|-0.045028627|0.08697629|0.06596812|-0.34571773|0.118095875|-0.3876646|-0.2845362|0.08836799|-0.49545884|-0.5135782|-0.2156294|-0.5334443|0.534629|-0.092272535|-0.064687885|-0.3294226|-0.53251183|-0.012086041|0.38169798|0.0927686|0.48545253|0.28143886|-0.05379971|-0.29922098|0.081036896|0.24390164|-0.3273469|0.36532804|0.37100857|-0.23402172|0.557503|0.4222857|0.12384255|0.19253846|-0.29212257|0.036869854|0.23941644|0.40256026|0.2525097|0.4448231|0.50209844|-0.19362944|0.5898125|-0.32717702|-0.54356235|-0.23960137|-0.21096261|0.1490682|-0.4006307|0.3150871|0.64442265|0.16958015|-0.050127044|0.6669642|-0.018184856|-0.39341402|-0.31701106|0.5019891|-0.44488537|0.3712527|0.4513507|-0.0482817
12;-0.39293072|-0.060335442|0.1819648|-0.4753404|-0.4107975|-0.25622472|0.5225358|-0.2824367|-0.5818791|0.45773563|0.24220727|0.32387823|-0.45971748|0.19930297|0.34527165|-0.25810528|0.3441673|0.18543215|0.5342073|0.43817407|0.4214936|-0.16548899|-0.5335461|-0.43305343|-0.6244425|0.4198717|-0.6674015|-0.29970488|0.5322959|-0.50485677|0.5832717|0.54184043|0.2951892|-0.34224164|-0.39107367|-0.034592867|0.6219356|0.35443583|-0.16780731|0.26215917|0.090630285|-0.28571582|0.39242607|-0.5167839|-0.43542618|-0.094064854|-0.41166234|-0.47461078|-0.44945455|-0.45617947|0.554006|0.16091426|-0.07485216|-0.26480144|-0.45646513|-0.008726977|0.31357634|0.10075941|0.7296787|0.37622988|-0.09970336|-0.5476094|0.08903421|0.41640607|-0.313224|0.5060408|0.14071736|-0.24438131|0.53867906|0.10898824|0.37186077|0.1766444|-0.52168596|0.19670907|0.4061612|0.18586452|0.33583695|0.29683745|0.34379604|-0.35719824|0.18645984|-0.36202246|-0.8494526|-0.3397379|-0.3504176|0.26501492|-0.45713854|0.24498491|0.33120418|0.14488481|0.17912376|0.6105293|-0.025552295|-0.33652782|-0.5374253|0.4273171|-0.46761748|0.22388938|0.3391709|0.12990047
13;-0.45880663|-0.18738821|-0.10872255|-0.43786967|-0.40741146|-0.45073354|0.32519284|-0.52011585|-0.25880343|0.78825307|0.7560561|0.3280521|-0.5202519|0.4717862|0.40410563|-0.24299867|0.5436442|0.20152982|0.6689867|0.17519452|0.3998482|-0.37120634|-0.3161041|-0.5097341|-0.25553882|0.6812883|-0.53069615|-0.5169214|0.6601119|-0.50665486|0.30448267|0.6446823|0.37134147|-0.1868082|-0.3404618|0.31612897|0.5344038|0.2291032|-0.36922884|0.24149682|-0.34477538|0.012851059|0.16476539|-0.15978366|-0.24329768|0.054907635|-0.31076348|-0.7153716|-0.382463|-0.3516874|0.41272187|-0.20163086|-0.22816892|-0.6092665|-0.5678159|0.3173349|0.5469068|0.07345918|0.4890881|0.43419313|-0.23534156|-0.367115|-0.21675137|0.4996619|-0.3582911|0.26732978|-0.046391204|-0.19235723|0.65176237|0.42397583|0.5790012|0.30782118|-0.47431713|0.016468212|0.27167034|0.512329|-0.33029366|0.50584793|0.40801254|-0.37979865|0.2301011|-0.39380458|-0.73873836|-0.31076092|-0.5067388|0.33680892|-0.28746572|0.29949278|0.54531175|-0.012041852|0.009886667|0.7671328|-0.031863622|-0.26684892|-0.53928494|0.6010978|-0.659032|-0.063277215|0.6792155|0.16645548
14;-0.6515664|-0.4703886|0.014518943|-0.39779133|-0.41869295|-0.4085833|0.45157635|-0.26048505|-0.48746747|0.4725698|0.5498973|0.32122776|-0.29540387|-0.21342778|0.65749294|-0.32675564|0.14655809|0.6015386|0.34653437|0.4707561|0.44388044|-0.3144713|-0.28649008|-0.31321067|-0.54138535|0.34761152|-0.27923983|-0.33847708|0.64505666|-0.6512019|0.39200455|0.55392754|0.021763146|-0.49219525|-0.61530966|0.31395236|0.43458754|0.5704237|-0.084801584|0.57658434|-0.04469938|-0.4017816|0.20537142|-0.36681658|-0.6427516|-0.158955|-0.35062206|-0.4643694|-0.55761826|-0.11039877|0.47198015|-0.11479386|-0.07904126|-0.24106854|-0.45361507|0.03661665|0.11281587|0.088406906|0.5871535|0.2843723|-0.03775738|-0.8440778|-0.0077636987|0.2767912|-0.640429|0.56931555|-0.028052121|0.13117234|0.37974948|-0.037931055|0.25132143|0.12669048|-0.55543524|0.13010812|0.3611137|0.2611229|0.4304446|0.22732256|0.5959374|0.343844|0.34909195|-0.37999552|-0.5112385|-0.3956822|-0.61939305|0.28292358|-0.34702086|0.29784575|0.06659904|0.29220018|0.13255873|0.60985327|-0.2377907|-0.3794004|-0.37738013|0.5971444|-0.35397935|-0.056764275|0.22800265|0.17675659
15;-0.49885032|-0.29428637|0.12752037|-0.23181129|-0.39861616|-0.16290285|0.18398021|-0.30070314|-0.5358629|0.21084064|0.3933664|0.26195496|-0.3493901|0.25544214|0.3988041|-0.17061599|0.15861814|0.093287006|0.4438041|0.4074124|0.31452414|-0.17439838|-0.15619439|-0.21300544|-0.30611256|0.44148162|-0.44575137|-0.19973277|0.4528238|-0.62975436|0.34284827|0.43086407|0.35827172|-0.426611|-0.51250315|0.18674314|0.4788173|0.288445|-0.071048126|0.027660936|0.061268542|-0.19597632|0.39524361|-0.37763476|-0.48974395|-0.17192721|-0.25607625|-0.5528114|-0.38053158|-0.32214177|0.53094673|-0.21210253|-0.19071023|-0.2718601|-0.47630048|0.027726911|0.328916|-0.026995316|0.50795376|0.22082713|0.05524187|-0.39768863|-0.0051289275|0.40301403|-0.33574447|0.34912777|0.26515058|-0.18506736|0.3991255|0.26833317|0.32554504|0.36481816|-0.2712564|0.16794968|0.37642363|0.35927486|0.03283564|0.44445786|0.51488525|-0.037700556|0.28401607|-0.41073206|-0.5803393|-0.2531322|-0.34315163|0.11014662|-0.28004932|0.28704804|0.400383|0.2035961|0.30357593|0.44672966|-0.029935272|-0.4823934|-0.49277928|0.43571785|-0.37873495|0.11463334|0.35594746|0.17487556
16;-0.42458248|-0.14358605|0.09444213|-0.2678575|-0.5470453|-0.20826015|0.15288779|-0.19783072|-0.45099396|0.5036768|0.40490913|0.4617461|-0.4838626|0.28562662|0.50274336|-0.23463482|0.25277433|0.05612766|0.43321005|0.14794612|0.4418201|-0.4949088|-0.15159914|-0.45012528|-0.3697351|0.420187|-0.60260844|-0.20673633|0.2759984|-0.43392402|0.4329905|0.48917484|0.4073436|-0.34539577|-0.52005285|0.3037999|0.49131212|0.36768556|-0.21083306|0.13922943|0.0062696114|-0.23216265|0.26663816|-0.3865827|-0.33885852|-0.12416338|-0.36498868|-0.4296849|-0.24296962|-0.38937157|0.4217445|-0.107775934|-0.03299756|-0.3738398|-0.36385375|0.08143061|0.31028515|0.092799895|0.6187839|0.31736585|-0.093018085|-0.5388481|-0.019886896|0.3412129|-0.39975256|0.3993893|0.20664863|-0.15172847|0.5127397|0.41864878|0.22584277|0.20112254|-0.41148642|0.25052533|0.41440657|0.16279152|-0.053082272|0.26823217|0.45637852|-0.16127124|0.46536005|-0.523169|-0.51990193|-0.17807035|-0.40561837|0.35518676|-0.34468907|0.28408745|0.4872528|0.31834227|-0.018791467|0.5379488|-0.16163667|-0.3426513|-0.54192895|0.5415941|-0.35898933|0.35168827|0.31498417|0.13940603
17;-0.5523387|-0.28972366|0.1274234|-0.2932863|-0.43435127|-0.26190388|0.31712234|-0.2501693|-0.34038344|0.40708613|0.37341607|0.38118845|-0.48191583|0.24787274|0.41929772|-0.15105386|0.3581045|0.13181084|0.51764697|0.42452514|0.55814505|-0.36504412|-0.32867408|-0.3353572|-0.3587943|0.38340265|-0.45634776|-0.09061728|0.3020256|-0.47726256|0.18910885|0.4048979|0.6289262|-0.5334936|-0.5549228|0.23480907|0.37841055|0.3484676|-0.118862204|0.16316636|0.039519172|-0.16873597|0.30780268|-0.3814677|-0.37418488|-0.13982604|-0.16252825|-0.5921679|-0.546347|-0.46571165|0.35474795|-0.31607926|0.03231642|-0.35873535|-0.27125144|0.13425115|0.17364092|0.12357573|0.60248613|0.2919266|0.091402665|-0.53042555|0.012683753|0.3329206|-0.405241|0.429958|0.13591193|-0.09888893|0.4247238|0.21566442|0.255068|0.1272532|-0.30214|0.21940179|0.3951903|0.2233576|0.060299322|0.24403909|0.47519055|0.017256439|0.37905744|-0.40419608|-0.49960777|-0.26962212|-0.3248479|0.28466243|-0.35201836|0.3639981|0.3921482|0.23818563|0.34539872|0.36266202|-0.09287223|-0.56413937|-0.51939756|0.38097093|-0.5845201|0.20726481|0.33852145|0.493107
18;-0.5972169|-0.16070092|-0.18116772|-0.40250763|-0.27920783|-0.1294277|0.22420043|-0.31494477|-0.68319356|0.48076394|0.36491096|0.32636657|-0.50785345|0.449458|0.34915304|-0.29155222|0.42639703|0.17268649|0.27940586|0.51669335|0.36110947|-0.67847764|-0.052423492|-0.3513142|-0.4429013|0.4690529|-0.50501424|-0.15270214|0.42614982|-0.864049|0.46324405|0.50921345|0.52712804|-0.48752552|-0.79138017|0.28119346|0.50691533|0.35881808|-0.46473423|0.32811332|-0.06316373|-0.39267808|0.2871939|-0.607908|-0.55921|-0.012775268|-0.26305792|-0.75634086|-0.3975594|-0.48493397|0.73901105|-0.04089725|-0.08648485|-0.43975323|-0.5183777|-0.019289069|0.42147574|-0.014691435|0.39704135|0.39498577|0.04336692|-0.38786554|-0.016727462|0.4630219|-0.34845698|0.37143424|0.21008421|-0.12436722|0.36855918|0.50729394|0.2812722|0.008962452|-0.37850705|0.25292042|0.3868744|0.19084078|0.06437585|0.3606132|0.4814462|-0.23621902|0.34406573|-0.49338847|-0.6826744|-0.3669917|-0.5115861|0.17593129|-0.6640617|0.25031152|0.32260817|0.34707522|0.06259656|0.7634522|-0.3482623|-0.5532302|-0.5427416|0.44861764|-0.6124161|0.24954812|0.6965384|0.31343788
19;-0.5231885|-0.34807134|-0.017016876|-0.49891293|-0.5168967|-0.25866076|0.33915898|-0.45990044|-0.4503028|0.586884|0.1805025|0.5856778|-0.35446638|0.34325218|0.30829018|-0.21577848|0.29437461|-0.004208982|0.46141735|0.29571626|0.4466373|-0.16349229|-0.39642328|-0.41747546|-0.4732315|0.3880456|-0.5974076|-0.15972155|0.5035339|-0.6103113|0.2782778|0.34865284|0.5676098|-0.4432591|-0.47703606|0.3042819|0.5202576|0.34576768|-0.13996732|0.21287963|0.13886155|-0.4456631|0.32696283|-0.35691214|-0.35796404|-0.010476731|-0.31576264|-0.56160426|-0.35053104|-0.66883874|0.3858074|-0.31667572|0.10976942|-0.4444083|-0.21045496|0.39142212|0.20338854|0.17167056|0.44215268|0.4109083|-0.10000263|-0.49938464|0.077403314|0.46894073|-0.19402476|0.43304232|0.32857904|-0.15959604|0.3807856|0.49353713|0.36478454|0.2024508|-0.4612855|0.22009198|0.36497855|0.4393091|0.11645202|0.39890513|0.20136085|0.032372072|0.17051943|-0.32857254|-0.5728892|-0.24753007|-0.35380927|0.41917947|-0.4489878|0.30043644|0.5685574|0.15384448|0.21297395|0.56766933|-0.10104656|-0.4686547|-0.5686155|0.52728266|-0.5048466|0.19222474|0.46750876|0.19690365
20;-0.5155751|-0.22154844|0.09365012|-0.45573154|-0.5857703|-0.19480103|0.3624|-0.3758602|-0.31568423|0.4446975|0.4265159|0.45520964|-0.4882989|0.39123058|0.5257763|-0.12729084|0.27233216|0.27954477|0.44735438|0.4489872|0.43925065|-0.46802133|-0.24369684|-0.4561911|-0.42605358|0.34744936|-0.39660105|-0.30195114|0.5064796|-0.50284386|0.29840773|0.5057423|0.40510723|-0.3108434|-0.5675708|0.14092913|0.5324255|0.3617372|-0.14084846|0.06621944|0.09409759|-0.4274948|0.24076165|-0.39983726|-0.52799505|-0.25953597|-0.37420595|-0.5476046|-0.24958442|-0.3098179|0.66374505|-0.08358568|0.0035530776|-0.31612474|-0.4563211|-0.047279805|0.29200828|-0.0011072829|0.6281104|0.22215608|0.03302745|-0.39589518|0.19055861|0.4446096|-0.4696946|0.45644927|0.19662377|-0.16431661|0.5310926|0.36478508|0.2409882|0.06632504|-0.4789148|0.16876599|0.5018516|0.35018286|0.15854733|0.25678915|0.53763074|-0.17256263|0.42707947|-0.4854249|-0.62050223|-0.2662237|-0.4110602|0.20851745|-0.2547664|0.30781975|0.37417316|0.3704896|0.26496756|0.42667344|0.08175139|-0.58918524|-0.56373435|0.47154063|-0.3685324|0.15036887|0.3993341|0.25252566
