state;action_reward;n_state
6748&5|66467&3|9671&4|3806&1|47471&1|55546&5|53936&5|4605&5|5665&3|56315&5|35700&5|3806&1;68853&5|59550&5|46679&5|46679&5|33962&1|46891&5|28976&5|15410&5|68853&5|46679&5;6748&5|66467&3|9671&4|3806&1|47471&1|55546&5|53936&5|4605&5|5665&3|56315&5|35700&5|3806&1|68853&5|59550&5|46679&5|46679&5|33962&1|46891&5|28976&5|15410&5|68853&5|46679&5
72409&5|156&1|4841&4|78822&3|77577&5|55829&5|77936&4|4841&4|4894&5|78822&3|75447&5|16750&5;32721&5|33924&5|39296&5|32721&5|39296&5|33924&5|26965&5|41885&2|39296&5|2402&5;72409&5|156&1|4841&4|78822&3|77577&5|55829&5|77936&4|4841&4|4894&5|78822&3|75447&5|16750&5|32721&5|33924&5|39296&5|32721&5|39296&5|33924&5|26965&5|41885&2|39296&5|2402&5
7031&5|60299&3|30645&4|63720&5|7675&5|62001&4|9642&5|9034&4|25726&4|4125&4|54069&3|55691&3;20756&4|25891&4|24241&4|24153&3|66069&5|9590&5|4272&4|39814&1|75029&2|57624&4;7031&5|60299&3|30645&4|63720&5|7675&5|62001&4|9642&5|9034&4|25726&4|4125&4|54069&3|55691&3|20756&4|25891&4|24241&4|24153&3|66069&5|9590&5|4272&4|39814&1|75029&2|57624&4
72032&5|68150&5|72032&5|43760&5|72032&5|72032&5|43760&5|53418&4|43760&5|53418&4|43760&5|72032&5;51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5;72032&5|68150&5|72032&5|43760&5|72032&5|72032&5|43760&5|53418&4|43760&5|53418&4|43760&5|72032&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5|51971&5
57091&5|49369&5|67382&4|49369&5|14232&4|67382&4|67382&4|43413&4|19265&5|20664&4|67382&4|20664&4;7607&4|52751&4|42636&4|37456&4|42636&4|7607&4|7607&4|42636&4|42636&4|37456&4;57091&5|49369&5|67382&4|49369&5|14232&4|67382&4|67382&4|43413&4|19265&5|20664&4|67382&4|20664&4|7607&4|52751&4|42636&4|37456&4|42636&4|7607&4|7607&4|42636&4|42636&4|37456&4
16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5;32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4;16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|16270&5|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4|32944&4
47642&5|63509&5|33742&5|63509&5|63509&5|4354&5|71304&4|33742&5|4354&5|52612&5|63509&5|29384&3;49255&5|52604&5|51641&4|49255&5|51641&4|52604&5|52604&5|52604&5|51641&4|49255&5;47642&5|63509&5|33742&5|63509&5|63509&5|4354&5|71304&4|33742&5|4354&5|52612&5|63509&5|29384&3|49255&5|52604&5|51641&4|49255&5|51641&4|52604&5|52604&5|52604&5|51641&4|49255&5
43077&4|44412&3|2374&4|52393&3|50522&5|45970&3|16098&4|45953&5|49532&3|50082&3|45970&3|51953&4;53049&2|53066&4|53103&3|53139&3|53115&4|53021&3|53103&3|53066&4|53103&3|53021&3;43077&4|44412&3|2374&4|52393&3|50522&5|45970&3|16098&4|45953&5|49532&3|50082&3|45970&3|51953&4|53049&2|53066&4|53103&3|53139&3|53115&4|53021&3|53103&3|53066&4|53103&3|53021&3
24548&5|24548&5|19166&5|24548&5|24548&5|24548&5|24548&5|19166&5|19166&5|24548&5|24548&5|19166&5;47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5;24548&5|24548&5|19166&5|24548&5|24548&5|24548&5|24548&5|19166&5|19166&5|24548&5|24548&5|19166&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5|47338&5
13932&4|72479&4|59140&5|25013&5|59140&5|56752&3|71822&5|23957&5|19297&3|17626&5|26869&5|19090&4;5234&4|18035&5|7320&5|49027&4|63301&5|5326&5|63301&5|6168&4|5238&5|7196&4;13932&4|72479&4|59140&5|25013&5|59140&5|56752&3|71822&5|23957&5|19297&3|17626&5|26869&5|19090&4|5234&4|18035&5|7320&5|49027&4|63301&5|5326&5|63301&5|6168&4|5238&5|7196&4
67205&4|73662&5|65704&5|13547&5|1025&5|18286&5|58630&4|25344&5|79511&5|66908&5|57779&5|76436&4;31674&4|31430&5|62980&5|44928&5|33570&1|60524&5|78771&4|32014&5|33570&1|41348&5;67205&4|73662&5|65704&5|13547&5|1025&5|18286&5|58630&4|25344&5|79511&5|66908&5|57779&5|76436&4|31674&4|31430&5|62980&5|44928&5|33570&1|60524&5|78771&4|32014&5|33570&1|41348&5
50311&4|52562&3|52165&4|51539&3|52165&4|51539&3|52165&4|52144&3|55983&4|50311&4|51539&3|50311&4;52919&4|52991&3|52919&4|52919&4|52919&4|52991&3|52991&3|52991&3|52919&4|52919&4;50311&4|52562&3|52165&4|51539&3|52165&4|51539&3|52165&4|52144&3|55983&4|50311&4|51539&3|50311&4|52919&4|52991&3|52919&4|52919&4|52919&4|52991&3|52991&3|52991&3|52919&4|52919&4
10554&5|11390&5|55655&4|21138&4|27165&4|6740&5|18708&5|11390&5|15990&5|55655&4|55655&4|25646&5;24307&4|13879&5|24307&4|24307&4|24307&4|13879&5|24307&4|10758&5|24307&4|10758&5;10554&5|11390&5|55655&4|21138&4|27165&4|6740&5|18708&5|11390&5|15990&5|55655&4|55655&4|25646&5|24307&4|13879&5|24307&4|24307&4|24307&4|13879&5|24307&4|10758&5|24307&4|10758&5
63363&5|63944&4|70693&3|60042&4|73277&4|66003&5|74327&3|66032&4|4223&5|69215&3|68039&4|64135&3;63657&5|79447&4|487&3|8152&4|77002&3|25439&4|42419&4|78219&5|41504&2|4060&4;63363&5|63944&4|70693&3|60042&4|73277&4|66003&5|74327&3|66032&4|4223&5|69215&3|68039&4|64135&3|63657&5|79447&4|487&3|8152&4|77002&3|25439&4|42419&4|78219&5|41504&2|4060&4
70695&5|10644&5|10299&5|10594&5|21599&5|74405&5|10644&5|9019&4|38724&5|10644&5|74405&5|41737&2;8076&4|43798&5|50085&5|67008&4|14964&5|4175&5|14964&5|50085&5|43798&5|67008&4;70695&5|10644&5|10299&5|10594&5|21599&5|74405&5|10644&5|9019&4|38724&5|10644&5|74405&5|41737&2|8076&4|43798&5|50085&5|67008&4|14964&5|4175&5|14964&5|50085&5|43798&5|67008&4
59824&5|36837&3|35240&4|54548&4|35061&3|42267&4|32782&5|35570&5|36837&3|35836&3|20315&4|70547&4;14316&5|46931&4|48838&2|47698&3|47698&3|45305&5|46581&4|45305&5|47698&3|45305&5;59824&5|36837&3|35240&4|54548&4|35061&3|42267&4|32782&5|35570&5|36837&3|35836&3|20315&4|70547&4|14316&5|46931&4|48838&2|47698&3|47698&3|45305&5|46581&4|45305&5|47698&3|45305&5
24922&3|24922&3|24920&5|25773&4|25773&4|25773&4|24922&3|24920&5|76418&5|76418&5|24922&3|24920&5;31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5;24922&3|24922&3|24920&5|25773&4|25773&4|25773&4|24922&3|24920&5|76418&5|76418&5|24922&3|24920&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5|31993&5
44981&5|38712&3|39731&4|38712&3|40429&4|44331&5|40429&4|36583&4|36583&4|40429&4|40429&4|44331&5;62009&4|62009&4|62009&4|52801&4|76766&5|76766&5|52801&4|66422&4|66422&4|76766&5;44981&5|38712&3|39731&4|38712&3|40429&4|44331&5|40429&4|36583&4|36583&4|40429&4|40429&4|44331&5|62009&4|62009&4|62009&4|52801&4|76766&5|76766&5|52801&4|66422&4|66422&4|76766&5
79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5;53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5;79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|79870&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5|53178&5
5694&5|8212&5|54087&5|30346&5|8212&5|5694&5|4401&5|56028&5|16203&5|13758&5|10479&5|27698&5;14362&5|14362&5|14362&5|70439&5|32807&5|14362&5|70439&5|48512&5|40344&4|70439&5;5694&5|8212&5|54087&5|30346&5|8212&5|5694&5|4401&5|56028&5|16203&5|13758&5|10479&5|27698&5|14362&5|14362&5|14362&5|70439&5|32807&5|14362&5|70439&5|48512&5|40344&4|70439&5
63521&3|6102&4|69790&4|68038&3|61371&5|68662&4|68316&4|10347&4|63521&3|56403&4|69790&4|50353&4;35869&5|30793&5|71721&4|30793&5|35315&2|71721&4|35869&5|35315&2|35315&2|71721&4;63521&3|6102&4|69790&4|68038&3|61371&5|68662&4|68316&4|10347&4|63521&3|56403&4|69790&4|50353&4|35869&5|30793&5|71721&4|30793&5|35315&2|71721&4|35869&5|35315&2|35315&2|71721&4
29645&5|29645&5|78446&5|78446&5|78446&5|29645&5|29645&5|29645&5|78446&5|29645&5|78446&5|29645&5;70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5;29645&5|29645&5|78446&5|78446&5|78446&5|29645&5|29645&5|29645&5|78446&5|29645&5|78446&5|29645&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5|70824&5
51745&5|45469&5|46549&2|17715&4|4365&5|17715&4|17715&4|47832&5|17715&4|46549&2|50085&5|46549&2;47625&5|47927&5|47927&5|47625&5|47927&5|47625&5|47625&5|47625&5|47625&5|47625&5;51745&5|45469&5|46549&2|17715&4|4365&5|17715&4|17715&4|47832&5|17715&4|46549&2|50085&5|46549&2|47625&5|47927&5|47927&5|47625&5|47927&5|47625&5|47625&5|47625&5|47625&5|47625&5
10611&3|11909&5|25697&5|41932&4|19353&5|74787&4|24080&5|63277&3|45068&1|45068&1|76899&4|35700&1;42566&5|64797&4|64797&4|49532&2|11390&5|41915&4|42566&5|39942&5|39204&4|49532&2;10611&3|11909&5|25697&5|41932&4|19353&5|74787&4|24080&5|63277&3|45068&1|45068&1|76899&4|35700&1|42566&5|64797&4|64797&4|49532&2|11390&5|41915&4|42566&5|39942&5|39204&4|49532&2
6773&5|15845&5|76253&5|75773&4|12752&5|7451&4|35700&5|73875&4|71126&5|6773&5|6022&5|73875&4;47513&3|47338&5|48086&4|12236&5|39580&5|44304&3|39580&5|48314&4|48314&4|48314&4;6773&5|15845&5|76253&5|75773&4|12752&5|7451&4|35700&5|73875&4|71126&5|6773&5|6022&5|73875&4|47513&3|47338&5|48086&4|12236&5|39580&5|44304&3|39580&5|48314&4|48314&4|48314&4
64866&3|68022&3|1712&3|64866&3|76137&3|200&3|58377&4|76137&3|64866&3|1712&3|68022&3|64866&3;21300&3|74237&5|74237&5|76514&4|50625&5|67893&3|76514&4|21300&3|15516&5|21300&3;64866&3|68022&3|1712&3|64866&3|76137&3|200&3|58377&4|76137&3|64866&3|1712&3|68022&3|64866&3|21300&3|74237&5|74237&5|76514&4|50625&5|67893&3|76514&4|21300&3|15516&5|21300&3
3220&5|3312&3|58577&5|22037&5|1597&5|78893&3|22364&5|3312&3|3220&5|22093&3|22037&5|2830&4;8562&5|33471&5|31361&4|4163&4|8562&5|7791&5|7791&5|25983&4|30228&3|8562&5;3220&5|3312&3|58577&5|22037&5|1597&5|78893&3|22364&5|3312&3|3220&5|22093&3|22037&5|2830&4|8562&5|33471&5|31361&4|4163&4|8562&5|7791&5|7791&5|25983&4|30228&3|8562&5
38119&4|43923&3|76026&3|43814&3|43923&3|13462&5|76972&5|76026&3|76026&3|43923&3|72940&4|71262&5;43701&1|43701&1|27787&3|43701&1|48558&3|27787&3|27787&3|43701&1|43701&1|48558&3;38119&4|43923&3|76026&3|43814&3|43923&3|13462&5|76972&5|76026&3|76026&3|43923&3|72940&4|71262&5|43701&1|43701&1|27787&3|43701&1|48558&3|27787&3|27787&3|43701&1|43701&1|48558&3
17346&4|78817&4|78817&4|78817&4|34040&4|17346&4|78817&4|34040&4|17346&4|17346&4|34040&4|17346&4;47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4;17346&4|78817&4|78817&4|78817&4|34040&4|17346&4|78817&4|34040&4|17346&4|17346&4|34040&4|17346&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4|47338&4
1372&4|1372&4|65610&5|4854&5|65610&5|4854&5|35704&4|4854&5|35704&4|4854&5|65610&5|65610&5;41276&4|41276&4|41276&4|41276&4|41276&4|41276&4|40659&4|40659&4|41276&4|41276&4;1372&4|1372&4|65610&5|4854&5|65610&5|4854&5|35704&4|4854&5|35704&4|4854&5|65610&5|65610&5|41276&4|41276&4|41276&4|41276&4|41276&4|41276&4|40659&4|40659&4|41276&4|41276&4
37443&4|21855&5|2577&2|30481&4|45072&4|43584&4|45419&3|26287&5|35020&3|43713&5|45419&3|29384&4;45696&5|50032&3|45942&5|45835&5|48682&2|45985&3|46167&3|45835&5|46167&3|49463&4;37443&4|21855&5|2577&2|30481&4|45072&4|43584&4|45419&3|26287&5|35020&3|43713&5|45419&3|29384&4|45696&5|50032&3|45942&5|45835&5|48682&2|45985&3|46167&3|45835&5|46167&3|49463&4
15833&4|6798&4|7220&5|4335&5|4966&5|4075&5|31852&1|5818&5|24978&4|14963&5|41135&5|4465&5;62083&4|47826&2|22147&5|67298&5|13205&5|65884&5|48558&1|4967&4|5943&4|48816&1;15833&4|6798&4|7220&5|4335&5|4966&5|4075&5|31852&1|5818&5|24978&4|14963&5|41135&5|4465&5|62083&4|47826&2|22147&5|67298&5|13205&5|65884&5|48558&1|4967&4|5943&4|48816&1
60899&4|14986&4|16011&3|23660&4|56544&4|7492&4|54658&5|61304&3|1376&2|58699&3|21001&3|9960&4;46856&4|64953&3|57306&5|16772&3|37633&4|20984&5|49542&3|61498&4|32227&5|18122&4;60899&4|14986&4|16011&3|23660&4|56544&4|7492&4|54658&5|61304&3|1376&2|58699&3|21001&3|9960&4|46856&4|64953&3|57306&5|16772&3|37633&4|20984&5|49542&3|61498&4|32227&5|18122&4
62491&4|56165&3|4259&4|54587&2|62093&3|56165&3|4259&4|56165&3|4259&4|56165&3|62491&4|4259&4;67972&5|65907&4|65907&4|67972&5|65907&4|65907&4|67972&5|65907&4|65907&4|67972&5;62491&4|56165&3|4259&4|54587&2|62093&3|56165&3|4259&4|56165&3|4259&4|56165&3|62491&4|4259&4|67972&5|65907&4|65907&4|67972&5|65907&4|65907&4|67972&5|65907&4|65907&4|67972&5
8696&5|54488&4|24497&3|14653&5|7561&4|13268&5|59987&4|62047&3|54488&4|55551&4|19557&3|62047&3;39805&4|32960&3|39805&4|70695&3|36509&2|8910&4|52482&2|33201&4|8910&4|33201&4;8696&5|54488&4|24497&3|14653&5|7561&4|13268&5|59987&4|62047&3|54488&4|55551&4|19557&3|62047&3|39805&4|32960&3|39805&4|70695&3|36509&2|8910&4|52482&2|33201&4|8910&4|33201&4
