state;action_reward;n_state
410&4|248&5|876&3|1007&4|258&3|748&3|249&5|749&3|250&5|222&4|926&3|286&5;826&1|120&2|322&1|483&4|743&2|322&1|931&3|603&5|930&3|1254&3;410&4|248&5|876&3|1007&4|258&3|748&3|249&5|749&3|250&5|222&4|926&3|286&5|826&1|120&2|322&1|483&4|743&2|322&1|931&3|603&5|930&3|1254&3
179&3|187&3|196&2|172&4|343&4|324&4|323&1|50&5|854&5|11&5|64&5|64&5;282&2|475&5|928&3|235&3|290&3|1&3|928&3|405&4|249&4|257&3;179&3|187&3|196&2|172&4|343&4|324&4|323&1|50&5|854&5|11&5|64&5|64&5|282&2|475&5|928&3|235&3|290&3|1&3|928&3|405&4|249&4|257&3
258&5|475&4|250&5|257&5|879&2|596&3|405&5|222&5|475&4|748&5|1&3|7&5;471&4|471&4|260&3|260&3|151&3|328&5|118&4|471&4|111&3|111&3;258&5|475&4|250&5|257&5|879&2|596&3|405&5|222&5|475&4|748&5|1&3|7&5|471&4|471&4|260&3|260&3|151&3|328&5|118&4|471&4|111&3|111&3
125&4|1489&2|11&5|1058&4|925&4|925&4|239&3|1248&3|507&4|11&5|287&4|787&5;468&4|1227&2|762&4|21&3|585&3|1263&3|581&4|660&4|1061&3|441&3;125&4|1489&2|11&5|1058&4|925&4|925&4|239&3|1248&3|507&4|11&5|287&4|787&5|468&4|1227&2|762&4|21&3|585&3|1263&3|581&4|660&4|1061&3|441&3
1137&3|124&4|288&2|151&3|289&4|275&3|245&3|1067&4|117&3|221&4|1&2|275&3;515&5|19&5|100&5|713&4|311&5|298&2|276&5|311&5|306&4|20&4;1137&3|124&4|288&2|151&3|289&4|275&3|245&3|1067&4|117&3|221&4|1&2|275&3|515&5|19&5|100&5|713&4|311&5|298&2|276&5|311&5|306&4|20&4
689&5|294&4|95&4|273&3|89&4|465&5|83&4|50&4|751&3|216&4|216&4|647&3;705&5|192&1|243&2|81&4|4&4|705&5|96&5|81&4|732&4|4&4;689&5|294&4|95&4|273&3|89&4|465&5|83&4|50&4|751&3|216&4|216&4|647&3|705&5|192&1|243&2|81&4|4&4|705&5|96&5|81&4|732&4|4&4
483&5|751&4|479&5|275&5|313&2|176&4|191&5|16&3|489&5|21&2|492&3|275&5;863&4|486&5|97&4|510&5|433&5|863&4|44&4|1021&5|196&5|582&5;483&5|751&4|479&5|275&5|313&2|176&4|191&5|16&3|489&5|21&2|492&3|275&5|863&4|486&5|97&4|510&5|433&5|863&4|44&4|1021&5|196&5|582&5
272&4|880&3|340&3|270&5|270&5|272&4|272&4|272&4|751&2|751&2|333&3|302&5;327&4|752&3|748&2|343&2|752&3|327&4|752&3|327&4|752&3|752&3;272&4|880&3|340&3|270&5|270&5|272&4|272&4|272&4|751&2|751&2|333&3|302&5|327&4|752&3|748&2|343&2|752&3|327&4|752&3|327&4|752&3|752&3
288&3|288&3|750&5|327&5|286&4|340&5|288&3|270&4|750&5|748&4|325&1|340&5;313&5|302&5|346&5|346&5|264&5|346&5|313&5|264&5|313&5|346&5;288&3|288&3|750&5|327&5|286&4|340&5|288&3|270&4|750&5|748&4|325&1|340&5|313&5|302&5|346&5|346&5|264&5|346&5|313&5|264&5|313&5|346&5
1267&3|686&4|7&5|546&1|403&4|174&5|781&4|657&5|692&3|10&3|273&2|582&1;405&3|1231&3|801&3|1217&4|715&1|631&4|1435&3|1209&2|715&1|399&3;1267&3|686&4|7&5|546&1|403&4|174&5|781&4|657&5|692&3|10&3|273&2|582&1|405&3|1231&3|801&3|1217&4|715&1|631&4|1435&3|1209&2|715&1|399&3
1485&3|1021&3|59&4|59&4|1488&4|207&5|18&2|529&3|212&5|971&3|116&3|1021&3;1319&2|557&4|1266&3|970&3|10&3|10&3|1018&2|1155&5|1266&3|634&4;1485&3|1021&3|59&4|59&4|1488&4|207&5|18&2|529&3|212&5|971&3|116&3|1021&3|1319&2|557&4|1266&3|970&3|10&3|10&3|1018&2|1155&5|1266&3|634&4
748&3|886&3|79&4|1&4|12&4|1&4|195&4|661&3|12&4|748&3|288&3|1&4;273&3|1050&3|69&4|152&4|318&4|69&4|273&3|318&4|1050&3|273&3;748&3|886&3|79&4|1&4|12&4|1&4|195&4|661&3|12&4|748&3|288&3|1&4|273&3|1050&3|69&4|152&4|318&4|69&4|273&3|318&4|1050&3|273&3
1673&3|132&5|215&4|325&5|131&5|200&4|527&4|612&4|504&5|526&3|286&3|427&4;1063&4|160&3|98&5|186&4|287&4|50&4|237&4|69&5|194&4|176&4;1673&3|132&5|215&4|325&5|131&5|200&4|527&4|612&4|504&5|526&3|286&3|427&4|1063&4|160&3|98&5|186&4|287&4|50&4|237&4|69&5|194&4|176&4
507&2|109&4|147&3|286&4|480&4|405&4|474&3|14&5|180&4|98&5|652&3|224&4;596&3|283&2|370&3|813&4|25&4|813&4|1117&3|236&3|596&3|713&5;507&2|109&4|147&3|286&4|480&4|405&4|474&3|14&5|180&4|98&5|652&3|224&4|596&3|283&2|370&3|813&4|25&4|813&4|1117&3|236&3|596&3|713&5
405&4|12&5|237&4|474&4|768&3|1314&1|966&5|692&5|1011&3|50&4|172&4|12&5;1440&4|403&4|921&5|399&5|399&5|1188&3|1188&3|73&3|1209&4|779&2;405&4|12&5|237&4|474&4|768&3|1314&1|966&5|692&5|1011&3|50&4|172&4|12&5|1440&4|403&4|921&5|399&5|399&5|1188&3|1188&3|73&3|1209&4|779&2
229&2|273&3|508&2|97&5|471&3|11&4|188&2|1135&3|521&5|664&2|197&3|499&4;427&4|211&2|88&3|199&3|288&2|1136&3|298&3|1136&3|143&4|313&5;229&2|273&3|508&2|97&5|471&3|11&4|188&2|1135&3|521&5|664&2|197&3|499&4|427&4|211&2|88&3|199&3|288&2|1136&3|298&3|1136&3|143&4|313&5
597&3|151&3|582&4|433&5|662&5|31&4|412&1|210&4|762&5|147&4|371&5|402&5;238&5|364&1|1035&4|571&1|1033&1|364&1|286&5|286&5|843&2|238&5;597&3|151&3|582&4|433&5|662&5|31&4|412&1|210&4|762&5|147&4|371&5|402&5|238&5|364&1|1035&4|571&1|1033&1|364&1|286&5|286&5|843&2|238&5
421&2|487&2|143&3|66&3|181&3|486&4|1021&1|855&2|486&4|1063&2|478&4|168&3;1115&2|220&3|431&1|968&1|25&2|516&2|404&1|121&2|428&1|431&1;421&2|487&2|143&3|66&3|181&3|486&4|1021&1|855&2|486&4|1063&2|478&4|168&3|1115&2|220&3|431&1|968&1|25&2|516&2|404&1|121&2|428&1|431&1
197&5|462&4|479&4|504&5|242&5|294&1|192&5|319&4|132&3|294&1|98&4|289&1;9&5|185&4|275&4|285&5|704&3|13&3|255&1|13&3|276&4|285&5;197&5|462&4|479&4|504&5|242&5|294&1|192&5|319&4|132&3|294&1|98&4|289&1|9&5|185&4|275&4|285&5|704&3|13&3|255&1|13&3|276&4|285&5
286&4|333&3|289&1|333&3|340&4|300&4|300&4|299&4|272&5|331&2|313&4|331&2;1025&1|678&2|748&3|748&3|748&3|1025&1|1025&1|748&3|678&2|678&2;286&4|333&3|289&1|333&3|340&4|300&4|300&4|299&4|272&5|331&2|313&4|331&2|1025&1|678&2|748&3|748&3|748&3|1025&1|1025&1|748&3|678&2|678&2
127&4|505&4|234&4|346&3|505&4|89&3|505&4|1&2|64&5|185&5|157&5|156&4;182&5|603&5|313&5|302&5|603&5|528&5|528&5|32&5|483&5|182&5;127&4|505&4|234&4|346&3|505&4|89&3|505&4|1&2|64&5|185&5|157&5|156&4|182&5|603&5|313&5|302&5|603&5|528&5|528&5|32&5|483&5|182&5
265&2|562&3|62&2|55&4|181&2|94&3|54&2|228&4|562&3|356&3|227&4|257&2;273&4|331&3|274&5|159&4|177&5|331&3|485&5|483&5|230&5|331&3;265&2|562&3|62&2|55&4|181&2|94&3|54&2|228&4|562&3|356&3|227&4|257&2|273&4|331&3|274&5|159&4|177&5|331&3|485&5|483&5|230&5|331&3
260&1|228&5|38&3|187&4|42&4|508&5|194&5|408&5|100&5|214&4|473&3|124&4;1107&3|265&2|631&4|1107&3|72&5|76&4|1211&4|747&4|357&5|375&2;260&1|228&5|38&3|187&4|42&4|508&5|194&5|408&5|100&5|214&4|473&3|124&4|1107&3|265&2|631&4|1107&3|72&5|76&4|1211&4|747&4|357&5|375&2
319&3|132&4|151&3|127&4|845&4|191&4|191&4|64&5|603&4|114&4|135&3|286&4;109&3|109&3|154&2|109&3|202&4|705&4|395&1|855&4|705&4|100&3;319&3|132&4|151&3|127&4|845&4|191&4|191&4|64&5|603&4|114&4|135&3|286&4|109&3|109&3|154&2|109&3|202&4|705&4|395&1|855&4|705&4|100&3
312&4|306&4|302&4|302&4|539&2|300&3|286&5|259&4|332&4|539&2|189&4|270&4;79&4|79&4|480&4|182&4|182&4|1019&4|1019&4|180&4|79&4|1019&4;312&4|306&4|302&4|302&4|539&2|300&3|286&5|259&4|332&4|539&2|189&4|270&4|79&4|79&4|480&4|182&4|182&4|1019&4|1019&4|180&4|79&4|1019&4
559&4|100&5|96&1|318&5|164&5|1050&5|217&4|164&5|588&4|602&5|588&4|115&5;1188&3|73&4|1040&2|735&5|704&5|73&4|1401&5|218&5|497&5|382&5;559&4|100&5|96&1|318&5|164&5|1050&5|217&4|164&5|588&4|602&5|588&4|115&5|1188&3|73&4|1040&2|735&5|704&5|73&4|1401&5|218&5|497&5|382&5
222&2|294&4|124&4|275&5|7&5|740&3|282&3|14&5|304&3|127&4|284&3|222&2;405&3|471&2|405&3|121&3|121&3|21&3|931&2|21&3|21&3|21&3;222&2|294&4|124&4|275&5|7&5|740&3|282&3|14&5|304&3|127&4|284&3|222&2|405&3|471&2|405&3|121&3|121&3|21&3|931&2|21&3|21&3|21&3
896&4|324&4|1005&4|1524&5|1006&5|529&3|127&1|1396&4|8&5|643&3|666&3|258&4;511&2|482&2|918&1|114&5|511&2|174&1|132&5|114&5|482&2|482&2;896&4|324&4|1005&4|1524&5|1006&5|529&3|127&1|1396&4|8&5|643&3|666&3|258&4|511&2|482&2|918&1|114&5|511&2|174&1|132&5|114&5|482&2|482&2
135&5|23&5|50&5|204&5|655&5|82&4|482&5|484&3|83&1|169&5|192&1|135&5;133&1|153&5|526&3|663&5|208&5|431&3|175&5|96&5|526&3|153&5;135&5|23&5|50&5|204&5|655&5|82&4|482&5|484&3|83&1|169&5|192&1|135&5|133&1|153&5|526&3|663&5|208&5|431&3|175&5|96&5|526&3|153&5
327&3|323&4|876&3|288&5|327&3|948&2|333&3|98&4|323&4|558&1|288&5|288&5;567&3|788&3|563&2|217&2|217&2|816&3|563&2|567&3|563&2|567&3;327&3|323&4|876&3|288&5|327&3|948&2|333&3|98&4|323&4|558&1|288&5|288&5|567&3|788&3|563&2|217&2|217&2|816&3|563&2|567&3|563&2|567&3
69&4|678&3|411&3|568&3|265&4|15&3|432&3|501&4|193&4|230&4|176&4|135&4;183&4|625&3|431&3|946&3|152&4|189&4|383&2|408&4|183&4|152&4;69&4|678&3|411&3|568&3|265&4|15&3|432&3|501&4|193&4|230&4|176&4|135&4|183&4|625&3|431&3|946&3|152&4|189&4|383&2|408&4|183&4|152&4
463&5|615&4|671&5|98&4|1516&4|528&5|173&3|493&5|434&3|185&5|98&4|4&3;740&4|430&5|430&5|1192&3|172&4|837&4|573&5|241&3|1172&5|1192&3;463&5|615&4|671&5|98&4|1516&4|528&5|173&3|493&5|434&3|185&5|98&4|4&3|740&4|430&5|430&5|1192&3|172&4|837&4|573&5|241&3|1172&5|1192&3
588&5|121&5|38&5|568&4|427&4|27&5|588&5|633&5|288&5|928&5|633&5|143&5;676&5|133&5|207&5|676&5|197&5|15&5|197&5|133&5|197&5|133&5;588&5|121&5|38&5|568&4|427&4|27&5|588&5|633&5|288&5|928&5|633&5|143&5|676&5|133&5|207&5|676&5|197&5|15&5|197&5|133&5|197&5|133&5
417&3|671&2|742&5|770&3|403&5|566&4|228&5|29&2|504&4|186&5|71&5|790&3;944&5|120&5|577&1|54&5|444&3|395&1|158&3|227&5|576&3|739&4;417&3|671&2|742&5|770&3|403&5|566&4|228&5|29&2|504&4|186&5|71&5|790&3|944&5|120&5|577&1|54&5|444&3|395&1|158&3|227&5|576&3|739&4
284&2|405&2|318&4|762&3|252&2|14&5|1&4|721&4|1070&4|1208&2|1079&2|960&4;158&2|233&3|1046&2|583&4|229&3|1206&2|77&3|65&3|1135&3|219&3;284&2|405&2|318&4|762&3|252&2|14&5|1&4|721&4|1070&4|1208&2|1079&2|960&4|158&2|233&3|1046&2|583&4|229&3|1206&2|77&3|65&3|1135&3|219&3
275&4|995&3|324&5|904&5|106&3|221&4|1&4|250&5|301&3|475&5|475&5|1375&5;696&2|20&5|1315&3|1014&3|864&4|696&2|926&4|118&3|1258&2|1335&4;275&4|995&3|324&5|904&5|106&3|221&4|1&4|250&5|301&3|475&5|475&5|1375&5|696&2|20&5|1315&3|1014&3|864&4|696&2|926&4|118&3|1258&2|1335&4
531&4|740&4|463&3|45&5|736&4|294&3|937&4|170&5|305&4|14&4|116&4|286&4;1009&5|20&4|714&4|26&3|20&4|1227&4|20&4|1148&3|1009&5|714&4;531&4|740&4|463&3|45&5|736&4|294&3|937&4|170&5|305&4|14&4|116&4|286&4|1009&5|20&4|714&4|26&3|20&4|1227&4|20&4|1148&3|1009&5|714&4
1105&3|909&3|900&4|909&3|323&1|322&1|325&2|347&4|294&3|333&3|1024&3|1127&3;302&5|589&4|306&5|288&5|306&5|1279&3|748&4|1279&3|358&4|1279&3;1105&3|909&3|900&4|909&3|323&1|322&1|325&2|347&4|294&3|333&3|1024&3|1127&3|302&5|589&4|306&5|288&5|306&5|1279&3|748&4|1279&3|358&4|1279&3
301&3|274&3|191&5|340&4|275&4|286&4|357&5|483&5|137&5|301&3|276&4|1&4;619&4|121&1|284&2|338&2|284&2|546&2|405&3|831&1|546&2|1226&4;301&3|274&3|191&5|340&4|275&4|286&4|357&5|483&5|137&5|301&3|276&4|1&4|619&4|121&1|284&2|338&2|284&2|546&2|405&3|831&1|546&2|1226&4
603&3|196&4|218&1|511&4|64&4|127&5|367&4|156&4|1065&1|566&3|269&5|898&2;1140&1|959&4|239&3|433&2|684&4|38&3|230&5|101&2|433&2|191&4;603&3|196&4|218&1|511&4|64&4|127&5|367&4|156&4|1065&1|566&3|269&5|898&2|1140&1|959&4|239&3|433&2|684&4|38&3|230&5|101&2|433&2|191&4
1121&5|257&5|301&4|1041&4|707&5|707&5|634&5|83&5|258&5|257&5|285&5|634&5;155&4|56&3|508&3|727&4|508&3|384&3|727&4|722&3|662&4|508&3;1121&5|257&5|301&4|1041&4|707&5|707&5|634&5|83&5|258&5|257&5|285&5|634&5|155&4|56&3|508&3|727&4|508&3|384&3|727&4|722&3|662&4|508&3
283&3|322&4|275&4|873&5|873&5|250&4|1&5|410&5|340&5|873&5|331&4|410&5;508&5|125&5|508&5|846&5|1094&5|1094&5|458&4|1033&4|1033&4|127&4;283&3|322&4|275&4|873&5|873&5|250&4|1&5|410&5|340&5|873&5|331&4|410&5|508&5|125&5|508&5|846&5|1094&5|1094&5|458&4|1033&4|1033&4|127&4
550&2|582&2|175&2|23&2|705&5|1011&2|92&1|25&3|25&3|291&3|258&5|713&2;250&3|174&5|1074&2|752&1|398&2|554&2|570&2|327&5|801&2|672&2;550&2|582&2|175&2|23&2|705&5|1011&2|92&1|25&3|25&3|291&3|258&5|713&2|250&3|174&5|1074&2|752&1|398&2|554&2|570&2|327&5|801&2|672&2
98&5|568&4|974&3|50&5|988&2|12&5|13&4|42&2|724&5|64&5|732&4|196&5;1053&3|722&3|393&3|1096&3|550&3|535&3|1247&2|722&3|1007&5|365&2;98&5|568&4|974&3|50&5|988&2|12&5|13&4|42&2|724&5|64&5|732&4|196&5|1053&3|722&3|393&3|1096&3|550&3|535&3|1247&2|722&3|1007&5|365&2
933&1|515&5|1375&3|275&3|1067&5|117&2|285&4|1129&4|244&2|248&3|7&3|302&4;245&3|1380&2|220&2|274&3|1047&2|245&3|546&1|1338&4|1047&2|1009&2;933&1|515&5|1375&3|275&3|1067&5|117&2|285&4|1129&4|244&2|248&3|7&3|302&4|245&3|1380&2|220&2|274&3|1047&2|245&3|546&1|1338&4|1047&2|1009&2
1225&1|1248&1|517&3|1110&1|46&1|793&1|540&1|450&1|51&1|447&4|562&1|792&5;1531&1|1432&1|1408&1|921&1|1318&1|1021&1|207&1|1573&1|1434&1|1434&1;1225&1|1248&1|517&3|1110&1|46&1|793&1|540&1|450&1|51&1|447&4|562&1|792&5|1531&1|1432&1|1408&1|921&1|1318&1|1021&1|207&1|1573&1|1434&1|1434&1
304&5|285&5|908&1|304&5|750&4|877&5|877&5|948&1|294&2|288&2|313&5|352&1;1&1|314&1|408&5|890&1|890&1|475&2|890&1|1012&1|1012&1|314&1;304&5|285&5|908&1|304&5|750&4|877&5|877&5|948&1|294&2|288&2|313&5|352&1|1&1|314&1|408&5|890&1|890&1|475&2|890&1|1012&1|1012&1|314&1
864&3|124&4|298&4|245&3|294&3|748&3|321&4|597&3|298&4|108&3|7&4|249&3;358&3|329&3|342&3|313&5|310&4|346&3|898&1|1016&3|278&4|824&2;864&3|124&4|298&4|245&3|294&3|748&3|321&4|597&3|298&4|108&3|7&4|249&3|358&3|329&3|342&3|313&5|310&4|346&3|898&1|1016&3|278&4|824&2
512&5|222&4|493&4|641&4|568&3|126&3|603&4|204&4|83&5|493&4|364&3|1308&1;133&5|435&5|486&4|241&5|486&4|1125&5|73&2|486&4|530&5|1305&1;512&5|222&4|493&4|641&4|568&3|126&3|603&4|204&4|83&5|493&4|364&3|1308&1|133&5|435&5|486&4|241&5|486&4|1125&5|73&2|486&4|530&5|1305&1
94&3|211&4|54&4|1135&4|1011&1|100&3|780&2|265&4|188&4|72&3|177&4|156&4;720&2|322&3|375&1|720&2|294&3|385&5|669&1|391&2|67&3|358&4;94&3|211&4|54&4|1135&4|1011&1|100&3|780&2|265&4|188&4|72&3|177&4|156&4|720&2|322&3|375&1|720&2|294&3|385&5|669&1|391&2|67&3|358&4
979&2|111&2|742&4|1093&1|826&3|595&2|595&2|278&2|846&3|7&3|742&4|122&1;1132&3|831&3|1132&3|866&4|866&4|820&3|257&4|288&4|255&4|288&4;979&2|111&2|742&4|1093&1|826&3|595&2|595&2|278&2|846&3|7&3|742&4|122&1|1132&3|831&3|1132&3|866&4|866&4|820&3|257&4|288&4|255&4|288&4
323&2|988&1|340&5|134&5|1065&4|170&4|479&5|209&5|134&5|178&5|988&1|187&5;172&5|427&5|427&5|192&5|12&5|172&5|481&5|12&5|172&5|192&5;323&2|988&1|340&5|134&5|1065&4|170&4|479&5|209&5|134&5|178&5|988&1|187&5|172&5|427&5|427&5|192&5|12&5|172&5|481&5|12&5|172&5|192&5
919&4|276&4|276&4|357&2|792&5|100&5|15&4|276&4|9&4|455&4|922&4|174&5;427&5|427&5|750&3|507&4|507&4|22&3|525&5|588&4|603&4|172&5;919&4|276&4|276&4|357&2|792&5|100&5|15&4|276&4|9&4|455&4|922&4|174&5|427&5|427&5|750&3|507&4|507&4|22&3|525&5|588&4|603&4|172&5
471&4|222&4|255&5|476&5|117&5|193&3|477&4|1061&2|1023&4|845&3|264&2|100&3;465&1|216&5|96&4|153&3|123&4|735&2|174&3|640&1|272&5|213&2;471&4|222&4|255&5|476&5|117&5|193&3|477&4|1061&2|1023&4|845&3|264&2|100&3|465&1|216&5|96&4|153&3|123&4|735&2|174&3|640&1|272&5|213&2
294&4|1203&2|195&1|177&2|615&3|609&3|792&4|493&5|197&5|514&5|837&4|48&5;72&3|230&3|636&2|636&2|392&2|387&4|399&3|392&2|660&4|227&3;294&4|1203&2|195&1|177&2|615&3|609&3|792&4|493&5|197&5|514&5|837&4|48&5|72&3|230&3|636&2|636&2|392&2|387&4|399&3|392&2|660&4|227&3
588&4|498&3|69&1|243&4|597&3|243&4|118&4|181&4|143&3|181&4|121&3|568&4;87&5|378&3|378&3|204&3|11&2|98&3|252&4|87&5|11&2|144&2;588&4|498&3|69&1|243&4|597&3|243&4|118&4|181&4|143&3|181&4|121&3|568&4|87&5|378&3|378&3|204&3|11&2|98&3|252&4|87&5|11&2|144&2
628&3|628&3|1079&1|750&4|215&3|693&5|94&4|318&4|239&3|33&4|369&2|1170&3;568&3|79&3|575&2|79&3|717&2|568&3|73&4|401&3|568&3|143&2;628&3|628&3|1079&1|750&4|215&3|693&5|94&4|318&4|239&3|33&4|369&2|1170&3|568&3|79&3|575&2|79&3|717&2|568&3|73&4|401&3|568&3|143&2
301&2|300&3|328&2|272&3|300&3|332&3|328&2|682&3|300&3|340&4|333&4|346&4;268&3|331&3|245&2|347&4|347&4|268&3|331&3|331&3|258&4|299&2;301&2|300&3|328&2|272&3|300&3|332&3|328&2|682&3|300&3|340&4|333&4|346&4|268&3|331&3|245&2|347&4|347&4|268&3|331&3|331&3|258&4|299&2
286&5|878&2|511&5|527&5|294&4|289&3|174&4|238&4|523&5|318&5|238&4|289&3;529&4|529&4|529&4|22&4|48&5|531&4|22&4|48&5|531&4|435&4;286&5|878&2|511&5|527&5|294&4|289&3|174&4|238&4|523&5|318&5|238&4|289&3|529&4|529&4|529&4|22&4|48&5|531&4|22&4|48&5|531&4|435&4
393&4|523&4|195&5|636&4|778&4|216&4|89&4|67&2|78&3|596&4|184&4|1090&3;235&1|728&3|578&3|154&2|1047&4|550&4|66&3|154&2|122&2|372&3;393&4|523&4|195&5|636&4|778&4|216&4|89&4|67&2|78&3|596&4|184&4|1090&3|235&1|728&3|578&3|154&2|1047&4|550&4|66&3|154&2|122&2|372&3
168&3|483&5|654&5|118&4|423&4|526&4|176&4|632&4|651&3|503&5|131&4|503&5;235&3|225&4|71&4|148&2|683&3|155&2|142&3|63&4|559&3|77&3;168&3|483&5|654&5|118&4|423&4|526&4|176&4|632&4|651&3|503&5|131&4|503&5|235&3|225&4|71&4|148&2|683&3|155&2|142&3|63&4|559&3|77&3
269&5|328&2|315&3|315&3|258&3|328&2|344&1|333&4|754&1|324&4|333&4|874&5;349&3|752&4|1105&2|886&4|886&4|349&3|270&5|902&5|270&5|1105&2;269&5|328&2|315&3|315&3|258&3|328&2|344&1|333&4|754&1|324&4|333&4|874&5|349&3|752&4|1105&2|886&4|886&4|349&3|270&5|902&5|270&5|1105&2
1022&3|736&4|663&4|86&4|111&4|97&4|1381&3|4&3|654&4|190&5|154&3|732&4;1107&3|155&3|900&4|902&5|70&3|106&3|367&4|1628&5|614&2|630&3;1022&3|736&4|663&4|86&4|111&4|97&4|1381&3|4&3|654&4|190&5|154&3|732&4|1107&3|155&3|900&4|902&5|70&3|106&3|367&4|1628&5|614&2|630&3
31&3|707&5|145&1|8&5|197&4|95&5|436&4|69&4|179&4|204&5|218&3|408&5;79&5|175&2|727&4|1045&3|195&5|58&4|192&4|175&2|310&2|1045&3;31&3|707&5|145&1|8&5|197&4|95&5|436&4|69&4|179&4|204&5|218&3|408&5|79&5|175&2|727&4|1045&3|195&5|58&4|192&4|175&2|310&2|1045&3
